active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-4,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,957,0,1,0,1,0,0,0,2,1,0,0,0,3,-0.6
True,2022-10-22,3,2,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,1100,1,3,1,2,0,0,1,2,1,0,0,0,1,2.9
True,2022-10-23,0,-10,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,214,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0
True,2022-10-27,0,0,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-29,0,0,SACRAMENTO KINGS,HOME,MIAMI HEAT,WIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-31,0,0,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,WIN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-15,6,-3,SACRAMENTO KINGS,HOME,BROOKLYN NETS,WIN,746,1,1,0,0,4,4,0,0,0,0,0,0,2,4.9
True,2022-11-17,0,-2,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,WIN,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2022-11-23,0,0,SACRAMENTO KINGS,AWAY,ATLANTA HAWKS,LOSS,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-25,7,1,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,1243,3,5,1,2,0,0,1,3,1,1,1,0,4,7.1
True,2022-11-28,2,-5,SACRAMENTO KINGS,HOME,PHOENIX SUNS,LOSS,302,1,2,0,0,0,0,0,0,0,0,0,0,1,0.6
True,2022-11-30,3,-2,SACRAMENTO KINGS,HOME,INDIANA PACERS,WIN,890,1,1,1,1,0,0,1,3,1,1,1,1,3,4.5
True,2022-12-03,6,10,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,WIN,1094,2,6,0,1,2,2,1,2,1,1,1,1,1,4.9
True,2022-12-04,4,2,SACRAMENTO KINGS,HOME,CHICAGO BULLS,WIN,1083,2,3,0,1,0,0,0,4,2,0,0,1,2,3.5
True,2022-12-07,0,4,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,LOSS,490,0,1,0,1,0,0,1,1,0,0,0,0,2,-0.5
