active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,8,-1,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,LOSS,906,4,6,0,0,0,0,3,4,0,0,0,0,1,8.3
True,2022-10-21,6,11,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,1171,2,6,1,2,1,1,1,6,1,0,1,0,1,6.1
True,2022-10-22,11,-7,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,1129,4,9,3,4,0,0,0,2,1,1,3,1,3,8.5
True,2022-10-24,11,7,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,1125,4,12,0,2,3,4,5,4,0,3,0,1,3,9.3
True,2022-10-26,3,-11,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,1390,1,7,1,4,0,0,3,3,1,1,0,0,4,1.6
True,2022-10-28,4,-1,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,918,2,4,0,0,0,0,1,2,0,1,0,0,1,3.9
True,2022-10-30,9,-4,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,710,4,4,1,1,0,0,2,0,1,1,0,1,4,8.3
True,2022-10-31,6,-3,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,710,2,7,0,1,2,2,1,0,0,1,0,1,1,2.2
True,2022-11-02,6,-4,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,1089,3,7,0,1,0,0,3,4,2,1,3,2,2,7.3
True,2022-11-05,17,2,HOUSTON ROCKETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1439,6,8,2,2,3,5,3,3,2,1,0,1,3,16.2
True,2022-11-07,8,13,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,WIN,1183,3,7,2,3,0,0,2,4,0,2,0,1,3,6.7
True,2022-11-09,14,9,HOUSTON ROCKETS,AWAY,TORONTO RAPTORS,LOSS,1285,5,15,0,2,4,5,4,2,5,5,0,2,2,14.2
True,2022-11-12,5,6,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,1263,1,4,1,3,2,2,0,2,3,3,0,1,3,6.1
True,2022-11-14,9,-7,HOUSTON ROCKETS,HOME,LOS ANGELES CLIPPERS,LOSS,884,4,7,1,3,0,0,2,1,0,2,0,0,1,9.0
True,2022-11-16,8,12,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1072,3,5,0,1,2,2,1,6,0,0,1,2,3,5.7
True,2022-11-18,4,-12,HOUSTON ROCKETS,HOME,INDIANA PACERS,LOSS,1133,1,9,0,1,2,2,3,3,0,0,0,2,2,-1.7
True,2022-11-20,19,6,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,1360,8,14,1,5,2,2,2,6,1,3,0,0,1,18.9
True,2022-11-25,6,4,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,1110,2,9,0,1,2,2,4,3,0,1,0,0,2,4.4
True,2022-11-26,7,-10,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,WIN,995,3,8,1,1,0,0,1,5,0,2,0,2,2,4.0
True,2022-11-28,6,-12,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,1137,2,6,1,3,1,2,1,2,0,1,0,1,1,3.1
True,2022-11-30,4,-8,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,839,0,5,0,4,4,4,2,3,2,1,1,0,2,5.1
True,2022-12-02,9,6,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,WIN,1054,4,8,0,0,1,1,3,2,0,0,0,1,4,5.1
True,2022-12-03,13,10,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1748,6,10,0,0,1,2,3,7,1,0,0,0,1,12.5
True,2022-12-05,18,0,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,WIN,1247,7,11,2,3,2,2,3,3,0,3,1,0,1,19.4
True,2022-12-08,8,7,HOUSTON ROCKETS,AWAY,SAN ANTONIO SPURS,LOSS,1377,3,4,2,3,0,0,3,3,2,0,1,1,2,9.7
True,2022-12-11,0,-8,HOUSTON ROCKETS,HOME,MILWAUKEE BUCKS,WIN,786,0,2,0,0,0,0,0,1,0,2,0,0,3,-0.3
True,2022-12-13,10,1,HOUSTON ROCKETS,HOME,PHOENIX SUNS,WIN,1125,3,8,0,3,4,4,3,4,0,1,2,3,2,7.5
True,2022-12-15,5,4,HOUSTON ROCKETS,HOME,MIAMI HEAT,LOSS,942,2,7,1,2,0,0,1,4,1,0,1,1,3,2.0
True,2022-12-17,13,4,HOUSTON ROCKETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1391,6,14,1,3,0,0,3,3,1,0,0,1,3,7.1
True,2022-12-19,11,-3,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,LOSS,1425,3,5,1,2,4,6,1,3,0,1,0,1,1,9.1
True,2022-12-21,9,-15,HOUSTON ROCKETS,HOME,ORLANDO MAGIC,LOSS,1233,2,4,2,3,3,4,0,3,1,0,0,2,4,4.6
True,2022-12-23,7,-15,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,1230,3,5,1,1,0,0,1,2,0,1,1,4,2,2.9
True,2022-12-26,9,0,HOUSTON ROCKETS,AWAY,CHICAGO BULLS,WIN,1032,2,3,1,2,4,4,1,1,1,1,1,0,2,10.3
True,2022-12-27,6,-11,HOUSTON ROCKETS,AWAY,BOSTON CELTICS,LOSS,1024,2,9,2,6,0,0,2,3,1,0,1,0,2,3.4
True,2022-12-29,6,-8,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,LOSS,1097,3,7,0,1,0,0,1,7,1,0,0,1,3,3.6
True,2022-12-31,9,0,HOUSTON ROCKETS,HOME,NEW YORK KNICKS,LOSS,1414,4,11,1,5,0,1,5,8,1,3,1,3,0,9.8
True,2023-01-02,2,1,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,934,1,3,0,0,0,0,2,5,0,0,0,1,3,1.0
True,2023-01-04,4,-11,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,917,2,5,0,0,0,2,0,4,3,1,0,0,2,4.0
True,2023-01-05,4,10,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,1226,2,5,0,2,0,0,2,4,2,1,2,1,1,6.3
True,2023-01-08,3,0,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,968,1,5,1,2,0,0,0,4,2,1,1,0,2,3.4
True,2023-01-11,7,-10,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,LOSS,1126,3,6,1,2,0,0,1,2,0,0,0,2,2,2.5
True,2023-01-13,7,-2,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,LOSS,807,3,5,0,2,1,1,1,2,1,1,1,0,3,7.2
True,2023-01-15,11,-14,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1174,5,6,1,1,0,0,2,2,2,3,1,0,2,15.1
True,2023-01-16,9,7,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,LOSS,1172,4,6,1,1,0,0,5,2,0,0,1,1,2,9.4
True,2023-01-18,7,-4,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,LOSS,1126,3,11,1,3,0,0,3,2,1,0,0,2,1,1.5
True,2023-01-21,14,-2,HOUSTON ROCKETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1608,5,11,1,2,3,4,5,4,1,0,0,1,2,11.5
True,2023-01-23,11,0,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1565,5,8,0,0,1,2,3,6,3,3,2,2,3,14.2
True,2023-01-25,5,-6,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,LOSS,1114,2,4,0,1,1,2,2,1,1,0,2,2,1,4.0
True,2023-01-26,18,-5,HOUSTON ROCKETS,HOME,CLEVELAND CAVALIERS,LOSS,1515,8,13,0,3,2,3,5,6,3,0,1,3,3,15.6
True,2023-01-28,16,11,HOUSTON ROCKETS,AWAY,DETROIT PISTONS,WIN,1864,7,15,1,3,1,1,4,6,1,2,0,2,1,13.2
True,2023-02-01,20,1,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,WIN,1145,8,21,1,2,3,3,12,1,1,3,2,2,4,18.7
True,2023-02-03,2,-13,HOUSTON ROCKETS,HOME,TORONTO RAPTORS,LOSS,802,1,5,0,2,0,0,0,4,0,0,0,0,2,-0.7
True,2023-02-04,18,-6,HOUSTON ROCKETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1522,5,11,1,2,7,9,3,5,0,1,0,1,2,14.3
True,2023-02-06,4,-9,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,LOSS,1108,2,4,0,1,0,0,0,5,0,0,1,2,3,1.0
True,2023-02-08,10,-5,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,LOSS,1229,4,8,0,1,2,2,2,2,0,0,0,1,1,6.6
True,2023-02-10,8,11,HOUSTON ROCKETS,AWAY,MIAMI HEAT,LOSS,1152,3,5,1,2,1,3,0,3,2,1,1,0,0,8.9
True,2023-02-13,8,-10,HOUSTON ROCKETS,AWAY,PHILADELPHIA 76ERS,LOSS,1274,4,9,0,2,0,0,1,1,1,1,0,1,4,3.4
True,2023-02-15,10,-19,HOUSTON ROCKETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1145,2,4,0,1,6,10,1,2,2,1,0,2,5,6.1
True,2023-02-24,6,-2,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1362,2,8,1,4,1,3,2,4,1,4,0,2,2,4.9
True,2023-02-26,15,-11,HOUSTON ROCKETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1707,6,12,1,1,2,2,5,5,3,2,0,1,4,15.5
True,2023-02-28,17,-8,HOUSTON ROCKETS,HOME,DENVER NUGGETS,LOSS,1867,7,10,0,2,3,3,6,6,2,1,0,3,1,17.8
True,2023-03-01,10,-1,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,1508,4,11,2,3,0,0,4,3,1,1,3,1,2,9.6
True,2023-03-04,20,0,HOUSTON ROCKETS,AWAY,SAN ANTONIO SPURS,WIN,1858,7,11,2,3,4,6,1,4,2,2,2,0,3,19.8
True,2023-03-05,17,24,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,WIN,1796,7,13,1,3,2,4,1,7,1,1,0,1,3,12.2
True,2023-03-07,8,-22,HOUSTON ROCKETS,HOME,BROOKLYN NETS,LOSS,1668,3,5,0,0,2,2,2,2,1,3,0,3,5,6.4
True,2023-03-09,8,-5,HOUSTON ROCKETS,AWAY,INDIANA PACERS,LOSS,1630,4,8,0,0,0,0,2,8,1,1,1,3,1,6.8
True,2023-03-11,12,-1,HOUSTON ROCKETS,HOME,CHICAGO BULLS,LOSS,1271,4,6,4,4,0,0,1,3,1,1,0,3,5,7.7
True,2023-03-13,6,4,HOUSTON ROCKETS,HOME,BOSTON CELTICS,WIN,2070,3,7,0,3,0,2,2,7,2,0,1,1,2,5.3
True,2023-03-15,2,3,HOUSTON ROCKETS,HOME,LOS ANGELES LAKERS,WIN,1104,1,5,0,2,0,0,2,3,0,1,0,0,2,1.4
True,2023-03-17,9,29,HOUSTON ROCKETS,HOME,NEW ORLEANS PELICANS,WIN,1322,4,8,1,2,0,0,2,3,0,2,1,1,2,8.2
True,2023-03-19,10,-4,HOUSTON ROCKETS,HOME,NEW ORLEANS PELICANS,LOSS,1337,2,6,0,3,6,6,1,4,0,0,1,2,2,6.4
True,2023-03-20,21,-3,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,1859,9,16,1,5,2,4,4,8,1,4,0,2,2,19.7
True,2023-03-22,5,-4,HOUSTON ROCKETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1642,2,4,1,1,0,0,4,4,2,0,0,2,5,4.4
True,2023-03-24,21,-21,HOUSTON ROCKETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1751,9,13,1,2,2,3,1,3,3,1,0,1,0,18.8
True,2023-03-26,10,-11,HOUSTON ROCKETS,AWAY,CLEVELAND CAVALIERS,LOSS,1807,4,9,0,2,2,2,3,5,0,1,0,4,5,3.9
True,2023-03-27,13,-6,HOUSTON ROCKETS,AWAY,NEW YORK KNICKS,LOSS,1679,5,11,1,4,2,2,4,4,1,2,0,1,4,11.4
True,2023-03-29,0,7,HOUSTON ROCKETS,AWAY,BROOKLYN NETS,LOSS,1341,0,6,0,2,0,0,3,3,1,0,0,1,1,-1.9
True,2023-03-31,5,-6,HOUSTON ROCKETS,HOME,DETROIT PISTONS,WIN,1441,1,11,1,2,2,2,6,4,1,2,1,0,1,6.1
True,2023-04-02,9,-23,HOUSTON ROCKETS,HOME,LOS ANGELES LAKERS,LOSS,1501,4,14,1,5,0,0,5,3,2,1,0,0,2,6.8
True,2023-04-04,11,11,HOUSTON ROCKETS,HOME,DENVER NUGGETS,WIN,1976,5,9,1,2,0,0,2,5,1,2,1,3,2,9.2
True,2023-04-07,7,-3,HOUSTON ROCKETS,AWAY,CHARLOTTE HORNETS,WIN,1447,3,9,0,1,1,1,2,5,2,3,2,2,4,7.0
True,2023-04-09,16,9,HOUSTON ROCKETS,AWAY,WASHINGTON WIZARDS,WIN,1618,6,11,1,3,3,4,2,6,4,0,1,2,2,14.2
