active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,5,3,SAN ANTONIO SPURS,HOME,CHARLOTTE HORNETS,LOSS,528,2,2,0,0,1,1,0,2,0,1,1,0,0,6.7
True,2022-10-22,2,7,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,WIN,828,1,2,0,0,0,0,2,2,2,1,1,0,2,5.3
True,2022-10-24,6,7,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,767,2,6,2,4,0,2,1,1,4,2,0,1,2,5.8
True,2022-10-26,2,-9,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,627,1,3,0,1,0,0,0,3,0,0,0,1,0,0.2
True,2022-10-28,0,-5,SAN ANTONIO SPURS,HOME,CHICAGO BULLS,WIN,359,0,1,0,1,0,0,0,1,0,1,0,0,0,0.6
True,2022-11-05,7,-5,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,970,3,7,0,1,1,3,0,4,3,0,0,0,0,5.8
True,2022-11-07,0,-6,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,LOSS,134,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-11-11,0,0,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,WIN,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-14,9,-17,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1449,3,9,1,4,2,4,0,4,3,0,1,1,2,5.3
True,2022-11-15,4,-6,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,336,2,4,0,1,0,1,1,0,0,0,0,1,1,0.9
True,2022-11-17,11,-6,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,LOSS,1343,4,7,3,3,0,0,0,2,3,0,2,0,3,10.6
True,2022-11-19,8,-17,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,1277,2,6,1,5,3,3,0,4,1,1,0,1,2,5.7
True,2022-11-20,2,-1,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,880,1,2,0,0,0,0,1,6,3,0,0,0,2,4.8
True,2022-11-23,8,9,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,954,3,4,1,1,1,2,1,2,1,0,0,0,1,7.6
True,2022-11-25,5,3,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,693,2,5,1,2,0,0,0,1,0,0,0,1,1,1.2
True,2022-11-26,10,-14,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,967,4,6,2,3,0,2,0,1,0,0,0,1,6,3.5
True,2022-11-30,4,-2,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1039,2,6,0,3,0,0,0,5,2,1,1,1,1,3.8
True,2022-12-02,7,-1,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,906,3,5,1,3,0,0,1,4,3,1,0,2,0,7.7
True,2022-12-04,2,-12,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,1095,1,6,0,3,0,0,1,2,1,1,0,1,2,-0.6
True,2022-12-08,0,9,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,821,0,3,0,2,0,0,0,5,2,1,0,3,3,-2.4
True,2022-12-10,5,3,SAN ANTONIO SPURS,AWAY,MIAMI HEAT,WIN,199,2,2,0,0,1,3,2,2,0,2,0,1,1,6.2
True,2022-12-12,9,11,SAN ANTONIO SPURS,HOME,CLEVELAND CAVALIERS,WIN,870,4,7,1,2,0,0,1,2,2,0,0,1,1,7.0
True,2022-12-14,4,-10,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,LOSS,471,1,2,1,1,1,2,0,1,0,0,0,1,0,1.9
True,2022-12-17,0,2,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,168,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
True,2022-12-19,0,-7,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,WIN,175,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2022-12-22,0,4,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,211,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-12-23,0,6,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,LOSS,231,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2022-12-27,2,4,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,153,1,1,0,0,0,0,1,0,0,0,0,0,0,2.4
True,2023-01-02,5,-6,SAN ANTONIO SPURS,AWAY,BROOKLYN NETS,LOSS,885,2,5,0,2,1,4,1,3,0,0,0,1,2,0.9
True,2023-01-06,2,-4,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,437,0,2,0,1,2,2,0,0,0,0,0,0,0,0.6
