active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,-14,SAN ANTONIO SPURS,HOME,CHARLOTTE HORNETS,LOSS,296,1,1,0,0,0,0,0,0,0,0,0,1,0,0.7
True,2022-10-21,4,1,SAN ANTONIO SPURS,AWAY,INDIANA PACERS,WIN,512,2,3,0,0,0,0,1,0,0,0,0,0,0,3.4
True,2022-10-22,3,0,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,WIN,242,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2022-10-24,0,-2,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-26,15,0,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,885,6,9,0,0,3,3,1,3,1,1,0,3,0,11.4
True,2022-10-28,4,2,SAN ANTONIO SPURS,HOME,CHICAGO BULLS,WIN,890,2,4,0,1,0,0,0,0,1,0,0,1,0,1.7
True,2022-10-30,18,-1,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,WIN,1377,6,15,1,5,5,5,2,4,1,0,0,4,4,7.6
True,2022-11-02,17,-30,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,LOSS,1495,6,12,2,4,3,4,1,3,1,0,0,2,0,10.9
True,2022-11-04,7,-4,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,1146,2,4,0,0,3,5,2,1,0,1,0,0,1,6.5
True,2022-11-05,8,-12,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,1103,3,5,0,1,2,2,2,1,1,2,0,1,0,9.1
True,2022-11-07,2,3,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,LOSS,721,1,4,0,1,0,0,2,2,0,1,0,2,1,0.2
True,2022-11-11,0,0,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,WIN,99,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2022-11-14,12,-8,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1839,5,12,2,4,0,0,6,3,2,2,0,0,0,14.1
True,2022-11-15,10,-13,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1570,5,7,0,1,0,0,3,1,2,1,0,0,1,11.5
True,2022-11-17,16,-11,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,LOSS,1878,7,11,0,2,2,3,1,3,2,1,1,0,2,14.6
True,2022-11-19,9,-14,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,1665,4,7,1,1,0,0,2,3,0,0,1,0,1,8.3
True,2022-11-20,4,-3,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,963,2,4,0,1,0,0,0,1,0,0,1,0,0,3.0
True,2022-11-23,10,6,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,1450,3,8,0,2,4,5,1,4,2,3,0,1,1,10.1
True,2022-11-25,0,-2,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,203,0,1,0,0,0,0,0,1,1,1,0,0,0,1.3
True,2022-11-30,11,-15,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1677,5,10,0,0,1,1,2,1,0,0,1,0,1,8.0
True,2022-12-02,10,-7,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,2029,3,7,2,3,2,2,0,4,2,0,0,2,3,5.7
True,2022-12-04,12,-25,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,1842,5,6,2,2,0,0,1,2,0,0,0,0,0,11.1
True,2022-12-14,13,-15,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1426,5,6,1,2,2,4,2,2,0,2,0,1,2,12.2
True,2022-12-17,10,-4,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,1921,5,9,0,2,0,0,2,2,4,1,0,1,2,9.7
True,2022-12-19,9,10,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,WIN,1595,2,7,1,3,4,4,1,5,2,2,0,2,2,7.7
True,2022-12-22,4,-1,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,556,1,3,0,0,2,2,1,0,0,0,0,0,1,2.6
True,2022-12-26,1,4,SAN ANTONIO SPURS,HOME,UTAH JAZZ,WIN,335,0,0,0,0,1,2,0,1,0,0,0,0,1,0.5
True,2022-12-29,0,-5,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,104,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2023-01-07,4,-8,SAN ANTONIO SPURS,HOME,BOSTON CELTICS,LOSS,1299,2,6,0,1,0,0,2,2,0,1,1,2,1,1.9
True,2023-01-09,10,0,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,1019,4,7,2,3,0,0,0,0,0,0,0,0,0,6.7
True,2023-01-13,6,3,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,LOSS,407,2,3,1,2,1,1,0,0,0,0,0,0,0,4.7
True,2023-01-17,2,2,SAN ANTONIO SPURS,HOME,BROOKLYN NETS,WIN,406,0,0,0,0,2,2,0,2,0,0,0,0,1,2.2
True,2023-01-23,2,4,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,456,0,2,0,1,2,2,0,0,1,1,0,0,2,1.5
True,2023-01-25,11,3,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1509,5,10,1,2,0,0,2,5,2,2,1,0,3,11.8
True,2023-01-26,13,-25,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,1646,4,8,2,5,3,6,1,5,1,0,0,0,4,9.1
True,2023-01-28,14,3,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,1934,5,8,1,2,3,3,1,3,4,0,0,1,0,13.8
True,2023-01-30,9,-7,SAN ANTONIO SPURS,HOME,WASHINGTON WIZARDS,LOSS,2025,3,14,1,5,2,4,3,5,2,2,2,1,0,7.0
True,2023-02-01,4,-11,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,LOSS,1612,2,8,0,2,0,0,0,6,3,2,0,0,0,5.1
True,2023-02-03,13,-4,SAN ANTONIO SPURS,HOME,PHILADELPHIA 76ERS,LOSS,1543,6,8,1,2,0,0,2,3,1,2,0,0,1,14.4
True,2023-02-06,9,-17,SAN ANTONIO SPURS,AWAY,CHICAGO BULLS,LOSS,1539,3,5,1,2,2,2,0,5,2,0,1,2,3,7.1
True,2023-02-08,10,3,SAN ANTONIO SPURS,AWAY,TORONTO RAPTORS,LOSS,1647,4,7,0,1,2,5,0,3,1,1,0,1,0,7.1
True,2023-02-10,15,-1,SAN ANTONIO SPURS,AWAY,DETROIT PISTONS,LOSS,2552,6,12,0,2,3,3,0,5,5,0,3,3,3,11.9
True,2023-02-11,5,1,SAN ANTONIO SPURS,AWAY,ATLANTA HAWKS,LOSS,1172,1,4,1,2,2,2,1,1,3,0,0,1,1,4.3
True,2023-02-13,14,-4,SAN ANTONIO SPURS,AWAY,CLEVELAND CAVALIERS,LOSS,1970,6,12,1,1,1,1,0,6,2,0,0,1,3,9.0
True,2023-02-15,12,5,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,LOSS,1679,5,13,1,3,1,1,0,6,2,2,0,1,0,9.1
True,2023-02-23,15,-17,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,LOSS,1768,6,10,2,3,1,2,1,5,2,0,0,2,1,11.2
True,2023-02-25,11,-8,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,1902,1,5,0,1,9,10,0,4,4,1,1,0,0,13.2
True,2023-02-28,6,2,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,WIN,2031,3,8,0,2,0,0,1,5,2,1,1,1,3,4.7
True,2023-03-02,10,7,SAN ANTONIO SPURS,HOME,INDIANA PACERS,WIN,1907,3,7,0,2,4,5,2,2,3,1,1,1,1,10.3
True,2023-03-04,11,-2,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,LOSS,1808,3,9,1,4,4,4,1,2,6,3,0,0,3,13.2
True,2023-03-05,17,-9,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,LOSS,1394,6,10,1,3,4,6,1,0,0,0,1,0,1,12.6
True,2023-03-10,9,8,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,WIN,793,4,6,1,2,0,0,3,1,0,0,0,1,0,7.8
True,2023-03-12,12,0,SAN ANTONIO SPURS,HOME,OKLAHOMA CITY THUNDER,LOSS,1480,5,7,1,3,1,2,2,5,4,0,0,1,1,13.0
True,2023-03-14,14,21,SAN ANTONIO SPURS,HOME,ORLANDO MAGIC,WIN,1591,5,7,4,6,0,0,1,4,4,1,0,0,0,16.8
True,2023-03-17,11,12,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,LOSS,766,3,4,2,3,3,3,0,3,2,1,0,1,0,11.7
True,2023-03-19,0,-9,SAN ANTONIO SPURS,HOME,ATLANTA HAWKS,WIN,714,0,0,0,0,0,0,0,3,1,0,0,2,1,-0.8
True,2023-03-21,12,-10,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,1101,3,3,2,2,4,6,1,2,1,0,0,0,0,12.3
True,2023-03-22,14,-13,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,LOSS,1593,4,9,1,4,5,5,0,3,3,2,0,3,0,11.3
True,2023-03-24,20,-4,SAN ANTONIO SPURS,AWAY,WASHINGTON WIZARDS,LOSS,1654,8,13,4,5,0,2,1,6,0,0,0,0,0,15.8
True,2023-03-26,2,-3,SAN ANTONIO SPURS,AWAY,BOSTON CELTICS,LOSS,1145,1,6,0,2,0,0,1,4,1,0,0,0,0,0.8
True,2023-03-29,15,-6,SAN ANTONIO SPURS,HOME,UTAH JAZZ,LOSS,1566,5,12,1,5,4,4,0,3,2,1,1,1,1,11.2
True,2023-03-31,14,-22,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1658,5,7,1,3,3,4,1,6,1,1,1,4,1,11.2
True,2023-04-02,13,13,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,WIN,1920,4,5,1,1,4,4,1,4,2,0,0,0,2,13.6
True,2023-04-04,13,-19,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,1559,5,13,3,7,0,0,0,4,3,1,1,1,2,9.1
True,2023-04-06,25,4,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,WIN,1576,7,11,2,4,9,10,1,5,4,1,0,0,1,25.3
True,2023-04-08,22,-15,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1511,8,15,2,5,4,5,2,1,5,0,1,2,0,18.2
True,2023-04-09,17,16,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1450,7,14,1,2,2,4,0,6,2,1,0,1,0,12.4
