active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-22,0,-5,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,WIN,83,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-27,0,1,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,317,0,1,0,1,0,0,0,0,0,1,0,0,0,0.3
True,2023-03-04,6,0,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,LOSS,694,2,5,2,5,0,0,1,2,0,0,0,0,1,4.2
True,2023-03-05,7,-4,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,LOSS,718,3,4,1,2,0,0,0,2,1,0,0,0,0,6.7
True,2023-03-14,3,6,SAN ANTONIO SPURS,HOME,ORLANDO MAGIC,WIN,445,1,2,1,2,0,0,0,2,1,0,0,1,0,2.3
True,2023-03-19,11,-11,SAN ANTONIO SPURS,HOME,ATLANTA HAWKS,WIN,1095,4,8,3,6,0,0,1,2,0,0,0,1,3,6.1
True,2023-03-21,6,-21,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,1100,2,5,2,5,0,0,0,6,0,0,1,1,3,3.6
True,2023-03-22,8,-21,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,LOSS,1663,3,9,2,5,0,0,0,2,0,0,1,0,2,3.4
True,2023-03-24,12,-11,SAN ANTONIO SPURS,AWAY,WASHINGTON WIZARDS,LOSS,1090,5,8,1,4,1,1,0,3,0,0,2,0,2,9.9
True,2023-03-26,2,-14,SAN ANTONIO SPURS,AWAY,BOSTON CELTICS,LOSS,540,1,2,0,1,0,0,0,1,0,0,0,0,1,0.9
True,2023-03-29,2,-25,SAN ANTONIO SPURS,HOME,UTAH JAZZ,LOSS,1513,1,6,0,3,0,0,1,1,1,0,0,2,3,-3.3
True,2023-03-31,8,4,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1176,3,8,2,6,0,0,3,2,1,2,0,0,2,8.2
True,2023-04-02,26,16,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,WIN,1693,9,14,4,7,4,5,0,6,0,1,0,2,2,19.4
True,2023-04-04,10,-9,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,1653,4,11,2,7,0,0,1,5,1,0,1,0,2,6.7
True,2023-04-06,24,11,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,WIN,1529,8,14,5,9,3,4,2,3,1,2,0,2,2,19.2
True,2023-04-08,24,-13,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1911,8,16,5,9,3,3,0,4,1,0,0,2,3,14.7
True,2023-04-09,16,22,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1988,5,16,3,10,3,4,1,9,3,0,0,0,0,11.9
