active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,5,-1,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,861,1,1,0,0,3,4,0,1,0,0,0,1,2,2.8
True,2022-10-21,4,-16,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,706,1,4,0,2,2,2,1,0,0,0,0,0,1,1.9
True,2022-10-23,3,-6,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,571,1,2,0,1,1,2,1,1,0,0,0,1,0,1.6
True,2022-10-26,5,0,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,726,2,4,1,2,0,0,0,3,0,0,0,0,2,3.1
True,2022-10-28,7,15,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,1269,3,5,1,1,0,0,0,5,2,0,1,0,1,7.9
True,2022-10-29,4,-3,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,995,2,7,0,4,0,0,0,2,2,1,0,0,4,1.3
True,2022-10-31,5,3,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,640,2,3,0,0,1,2,1,3,1,0,0,0,3,4.4
True,2022-11-02,0,-5,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,713,0,1,0,1,0,0,1,3,0,1,0,0,1,1.5
True,2022-11-05,11,4,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,889,5,7,1,3,0,0,0,4,1,2,0,1,0,11.0
True,2022-11-07,5,15,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1317,2,5,0,1,1,2,1,7,2,2,1,0,2,8.0
True,2022-11-09,0,-22,ATLANTA HAWKS,HOME,UTAH JAZZ,LOSS,1170,0,5,0,1,0,0,1,4,1,1,1,0,2,0.0
True,2022-11-10,2,8,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,379,1,2,0,0,0,0,0,1,0,1,0,0,0,2.3
True,2022-11-12,4,3,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,662,2,3,0,1,0,0,0,2,0,1,0,3,0,1.3
True,2022-11-14,5,2,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,WIN,872,2,2,0,0,1,1,0,2,1,1,0,1,3,4.5
True,2022-11-16,7,-5,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,634,3,11,0,4,1,2,2,2,0,1,1,0,0,3.8
True,2022-11-19,0,-8,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,321,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
