active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,7,-1,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,LOSS,1503,3,3,0,0,1,2,3,6,7,0,2,0,0,15.9
True,2022-10-21,4,-8,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,706,2,3,0,0,0,0,2,2,2,1,0,1,3,4.9
True,2022-11-25,7,-15,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,996,3,5,0,0,1,2,2,1,0,0,1,1,3,4.5
True,2022-11-28,4,-9,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,483,2,2,0,0,0,0,1,1,0,1,0,2,2,2.6
True,2022-11-30,2,-2,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,406,0,2,0,0,2,2,1,1,0,0,2,0,1,2.6
True,2022-12-02,14,15,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,WIN,811,7,8,0,0,0,0,2,5,1,1,0,0,3,14.6
True,2022-12-03,2,6,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,LOSS,647,1,1,0,0,0,0,0,0,0,1,1,1,1,2.0
True,2022-12-05,6,2,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,WIN,965,2,5,0,1,2,4,3,5,0,0,0,0,3,4.9
True,2022-12-11,4,7,HOUSTON ROCKETS,HOME,MILWAUKEE BUCKS,WIN,598,1,3,0,0,2,2,2,4,1,0,1,1,5,3.3
True,2022-12-13,0,17,HOUSTON ROCKETS,HOME,PHOENIX SUNS,WIN,545,0,2,0,0,0,0,2,2,2,0,2,0,2,2.6
True,2022-12-15,2,-11,HOUSTON ROCKETS,HOME,MIAMI HEAT,LOSS,266,1,1,0,0,0,0,1,1,0,0,0,0,2,1.9
True,2022-12-17,4,2,HOUSTON ROCKETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,654,1,2,0,0,2,4,3,1,2,0,1,1,2,4.9
True,2022-12-19,7,2,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,LOSS,575,3,6,0,0,1,2,1,3,1,0,0,1,2,4.1
True,2022-12-21,0,7,HOUSTON ROCKETS,HOME,ORLANDO MAGIC,LOSS,205,0,1,0,0,0,0,1,0,0,0,0,0,2,-0.8
True,2022-12-23,2,-11,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,504,0,1,0,0,2,2,1,0,0,0,1,0,2,1.9
True,2022-12-26,1,-3,HOUSTON ROCKETS,AWAY,CHICAGO BULLS,WIN,366,0,0,0,0,1,2,0,2,1,0,0,1,2,0.1
True,2022-12-27,4,-8,HOUSTON ROCKETS,AWAY,BOSTON CELTICS,LOSS,888,2,3,0,0,0,0,2,2,1,1,1,1,3,4.9
True,2022-12-29,3,-10,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,LOSS,571,1,2,0,0,1,2,0,0,0,0,0,0,1,1.2
True,2022-12-31,1,-16,HOUSTON ROCKETS,HOME,NEW YORK KNICKS,LOSS,1286,0,2,0,0,1,2,2,3,0,0,2,1,4,0.3
True,2023-01-02,0,-3,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,466,0,0,0,0,0,0,0,4,0,0,0,0,1,0.8
True,2023-01-04,4,2,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,480,1,2,0,0,2,3,1,1,1,0,0,0,1,3.9
True,2023-01-11,2,-4,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,LOSS,812,1,2,0,0,0,0,1,2,2,0,2,0,2,4.3
True,2023-01-23,4,3,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,WIN,667,2,4,0,0,0,0,2,2,2,1,1,3,1,3.7
True,2023-01-25,5,-7,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,LOSS,676,1,3,0,0,3,4,1,2,0,0,4,0,1,6.6
