active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,15,16,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,2171,4,12,2,7,5,6,1,9,4,2,0,5,5,9.0
True,2022-10-22,40,-4,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,WIN,2315,16,31,3,10,5,5,2,4,6,2,1,4,2,29.4
True,2022-10-23,16,-7,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,2020,4,11,2,6,6,6,0,7,4,2,0,2,2,14.0
True,2022-10-27,10,-25,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1859,4,12,0,4,2,2,0,7,3,0,0,3,1,4.0
True,2022-10-30,14,-10,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,1666,5,19,2,8,2,2,1,2,3,1,0,4,3,1.9
True,2022-10-31,35,16,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,2278,15,26,5,10,0,1,0,9,8,6,2,3,3,33.9
True,2022-11-02,28,14,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,2211,10,20,3,8,5,6,1,3,5,1,0,5,1,18.3
True,2022-11-04,32,16,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,2251,11,16,4,6,6,7,0,2,6,1,0,5,2,24.8
True,2022-11-06,34,1,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,LOSS,2282,11,22,5,14,7,8,0,8,4,1,0,5,5,21.8
True,2022-11-07,26,-4,LOS ANGELES CLIPPERS,HOME,CLEVELAND CAVALIERS,WIN,2381,10,20,5,11,1,3,0,5,3,1,0,1,2,18.0
True,2022-11-09,29,16,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,WIN,2176,10,17,2,7,7,9,0,6,4,1,2,4,3,22.1
True,2022-11-12,17,-19,LOS ANGELES CLIPPERS,HOME,BROOKLYN NETS,LOSS,2046,5,21,1,6,6,7,0,4,4,0,2,2,3,6.1
True,2022-11-14,22,8,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1745,7,18,2,7,6,8,1,7,5,2,0,1,2,17.9
True,2022-11-15,23,2,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,LOSS,2488,7,13,1,3,8,8,0,7,6,2,0,10,4,13.4
True,2022-11-17,16,4,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,2149,5,18,3,6,3,3,2,7,3,1,0,4,5,6.0
True,2022-11-19,21,25,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,889,8,12,5,8,0,0,0,1,1,2,0,0,0,18.8
