active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-23,0,-2,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,173,0,1,0,1,0,2,0,0,0,0,0,0,0,-1.5
True,2022-11-29,3,-9,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,366,1,1,1,1,0,0,0,0,1,0,0,0,1,3.0
True,2022-11-30,2,1,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,209,1,2,0,0,0,0,1,0,1,0,0,0,0,2.4
True,2022-12-03,9,-2,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,880,4,9,1,5,0,0,0,2,3,0,0,2,1,4.6
True,2022-12-15,0,-7,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,986,0,3,0,1,0,0,0,2,3,0,0,2,2,-2.2
True,2023-01-05,6,4,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,921,2,4,2,2,0,0,0,4,3,1,0,0,1,7.9
True,2023-01-06,0,4,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,314,0,1,0,1,0,0,0,1,3,0,0,0,0,1.7
True,2023-01-15,0,2,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-17,2,7,LOS ANGELES CLIPPERS,HOME,PHILADELPHIA 76ERS,LOSS,196,1,2,0,1,0,0,0,1,2,0,0,0,0,2.7
True,2023-01-18,2,-6,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,279,1,3,0,1,0,0,0,4,0,0,0,1,0,0.5
True,2023-01-26,3,4,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,375,1,2,1,2,0,0,0,4,3,0,0,0,0,5.3
True,2023-01-29,12,-10,LOS ANGELES CLIPPERS,AWAY,CLEVELAND CAVALIERS,LOSS,2196,6,12,0,3,0,0,1,2,8,1,0,4,2,9.1
True,2023-02-10,2,5,LOS ANGELES CLIPPERS,HOME,MILWAUKEE BUCKS,LOSS,270,1,1,0,0,0,0,0,0,0,0,0,1,0,0.7
True,2023-04-08,0,-2,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
