active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,1,-5,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,619,0,0,0,0,1,2,1,4,0,0,0,0,1,2.1
True,2022-10-22,7,-3,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,WIN,1681,3,3,1,1,0,0,1,4,3,2,1,1,5,9.8
True,2022-10-23,3,-4,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,843,1,3,1,2,0,0,0,3,0,0,0,0,1,1.8
True,2022-10-25,8,-19,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1084,2,4,2,3,2,2,1,3,1,0,1,0,2,8.2
True,2022-10-27,7,-14,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1266,3,4,1,2,0,0,1,1,2,2,1,3,2,6.7
True,2022-10-30,3,-11,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,946,1,5,0,4,1,2,0,2,0,0,1,0,1,0.4
True,2022-10-31,2,-1,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,955,1,3,0,2,0,0,1,2,3,0,2,2,2,2.3
True,2022-11-02,4,2,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,847,1,4,1,3,1,1,0,3,2,1,2,0,6,3.9
True,2022-11-04,3,-10,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1177,1,3,1,3,0,0,1,3,2,0,1,1,5,2.0
True,2022-11-06,3,7,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,LOSS,1405,1,3,1,3,0,0,0,3,2,0,1,1,3,2.1
True,2022-11-07,3,6,LOS ANGELES CLIPPERS,HOME,CLEVELAND CAVALIERS,WIN,914,1,4,1,3,0,0,0,4,3,0,0,2,1,1.5
True,2022-11-09,2,1,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,WIN,939,0,1,0,1,2,2,3,3,1,0,0,1,2,3.2
True,2022-11-12,0,0,LOS ANGELES CLIPPERS,HOME,BROOKLYN NETS,LOSS,1056,0,5,0,3,0,0,1,5,1,0,2,0,0,0.8
True,2022-11-14,10,10,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1163,4,7,2,5,0,2,1,5,0,1,1,1,3,7.6
True,2022-11-15,22,-10,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,LOSS,1586,7,7,7,7,1,2,1,4,0,1,0,2,3,19.2
True,2022-11-17,0,-10,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,835,0,1,0,1,0,0,0,3,0,0,0,0,0,0.2
True,2022-11-19,3,17,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,957,1,4,1,3,0,0,1,2,1,0,0,1,2,0.8
True,2022-11-21,7,17,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1505,3,5,1,3,0,0,0,5,4,3,0,1,2,10.2
True,2022-11-23,0,-16,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,649,0,4,0,2,0,0,0,2,0,1,0,0,0,-1.2
True,2022-11-25,0,14,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1451,0,3,0,3,0,0,1,2,0,0,2,0,2,-0.2
True,2022-11-27,4,11,LOS ANGELES CLIPPERS,HOME,INDIANA PACERS,WIN,1435,2,5,0,3,0,0,1,7,2,1,1,2,1,4.8
True,2022-11-29,3,22,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1491,1,3,1,3,0,0,0,5,3,0,2,0,2,5.5
True,2022-11-30,8,5,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1297,2,4,2,3,2,3,1,1,1,0,1,0,3,6.8
True,2022-12-03,0,-8,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,678,0,3,0,2,0,0,1,2,0,0,0,0,1,-1.2
True,2022-12-05,13,23,LOS ANGELES CLIPPERS,AWAY,CHARLOTTE HORNETS,WIN,1224,4,6,4,6,1,3,0,5,1,2,0,0,0,13.8
True,2022-12-07,16,13,LOS ANGELES CLIPPERS,AWAY,ORLANDO MAGIC,LOSS,2275,6,11,4,9,0,0,2,2,5,0,0,0,2,15.4
True,2022-12-08,11,-10,LOS ANGELES CLIPPERS,AWAY,MIAMI HEAT,LOSS,1910,4,8,3,7,0,1,3,2,2,1,1,1,2,10.6
True,2022-12-10,12,19,LOS ANGELES CLIPPERS,AWAY,WASHINGTON WIZARDS,WIN,1952,4,12,4,10,0,0,3,3,1,0,2,0,2,9.5
True,2022-12-12,7,3,LOS ANGELES CLIPPERS,HOME,BOSTON CELTICS,WIN,1607,2,2,1,1,2,2,2,5,0,2,0,1,5,8.3
True,2022-12-14,13,30,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1844,5,9,3,7,0,0,1,6,2,2,0,1,1,13.2
True,2022-12-15,3,-11,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,608,1,2,1,2,0,0,0,1,1,0,0,1,0,2.0
True,2022-12-17,8,7,LOS ANGELES CLIPPERS,HOME,WASHINGTON WIZARDS,WIN,1998,3,7,2,4,0,0,2,5,0,0,1,0,3,6.7
True,2022-12-21,21,19,LOS ANGELES CLIPPERS,HOME,CHARLOTTE HORNETS,WIN,1227,7,10,7,10,0,0,0,7,2,1,0,2,1,18.9
True,2022-12-23,10,-3,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,LOSS,1520,3,5,2,4,2,2,1,1,1,0,3,1,4,8.9
True,2022-12-26,7,23,LOS ANGELES CLIPPERS,AWAY,DETROIT PISTONS,WIN,1884,2,8,2,6,1,2,1,5,0,2,2,1,1,6.0
True,2022-12-27,9,-2,LOS ANGELES CLIPPERS,AWAY,TORONTO RAPTORS,WIN,1627,3,8,3,8,0,0,1,6,2,1,1,0,2,9.4
True,2022-12-29,0,-7,LOS ANGELES CLIPPERS,AWAY,BOSTON CELTICS,LOSS,482,0,2,0,2,0,0,0,2,2,0,0,1,2,-1.2
True,2023-01-02,7,-13,LOS ANGELES CLIPPERS,HOME,MIAMI HEAT,LOSS,1408,3,7,1,4,0,0,1,4,1,1,0,1,3,4.7
True,2023-01-08,6,9,LOS ANGELES CLIPPERS,HOME,ATLANTA HAWKS,LOSS,1727,2,6,1,5,1,2,1,4,3,0,1,2,5,2.9
True,2023-01-10,5,7,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,WIN,1906,1,8,1,6,2,2,2,4,2,1,0,0,2,4.0
True,2023-01-13,3,-14,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1611,1,5,1,5,0,0,1,1,1,2,0,1,1,2.2
True,2023-01-15,5,7,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1660,2,7,1,5,0,0,1,4,3,2,1,0,2,6.8
True,2023-01-17,8,-15,LOS ANGELES CLIPPERS,HOME,PHILADELPHIA 76ERS,LOSS,1193,3,5,2,4,0,0,0,0,1,0,1,1,4,4.5
True,2023-01-18,11,-6,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1398,4,5,3,4,0,0,2,3,1,0,0,0,2,11.3
True,2023-01-20,3,6,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1338,1,3,1,3,0,0,0,2,2,0,1,1,2,2.2
True,2023-01-22,8,23,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,WIN,1706,2,5,2,5,2,2,0,6,0,0,2,0,4,6.9
True,2023-01-24,4,4,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,1422,1,2,1,2,1,2,1,5,6,0,1,2,2,6.9
True,2023-01-26,9,18,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,1557,3,5,3,5,0,0,1,3,2,0,0,0,2,8.9
True,2023-01-28,8,3,LOS ANGELES CLIPPERS,AWAY,ATLANTA HAWKS,WIN,1248,2,3,2,3,2,2,0,2,1,0,0,2,1,5.6
True,2023-01-29,0,-16,LOS ANGELES CLIPPERS,AWAY,CLEVELAND CAVALIERS,LOSS,413,0,3,0,3,0,0,1,2,0,0,0,0,0,-0.8
True,2023-01-31,6,-1,LOS ANGELES CLIPPERS,AWAY,CHICAGO BULLS,WIN,1616,2,10,2,9,0,0,2,3,1,2,0,0,2,4.0
True,2023-02-02,0,-24,LOS ANGELES CLIPPERS,AWAY,MILWAUKEE BUCKS,LOSS,1007,0,3,0,3,0,0,0,4,0,0,0,0,3,-2.1
True,2023-02-04,10,12,LOS ANGELES CLIPPERS,AWAY,NEW YORK KNICKS,WIN,1617,3,4,3,4,1,2,1,1,3,1,2,0,3,12.3
True,2023-02-06,9,-4,LOS ANGELES CLIPPERS,AWAY,BROOKLYN NETS,WIN,1658,3,8,1,4,2,3,2,9,3,0,1,0,1,10.7
True,2023-02-08,0,-2,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,LOSS,886,0,3,0,3,0,0,0,2,0,1,1,0,2,-0.6
