active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,14,13,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,2122,6,6,0,0,2,4,6,11,1,0,5,5,2,17.3
True,2022-10-22,10,4,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,WIN,1450,4,7,0,0,2,2,1,7,1,0,1,1,3,8.7
True,2022-10-23,2,-8,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,1280,1,4,0,0,0,0,3,5,2,0,0,3,1,1.2
True,2022-10-25,10,-17,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2082,5,9,0,1,0,0,4,10,2,0,7,1,2,16.0
True,2022-10-27,12,-14,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2061,4,9,0,0,4,6,5,13,2,0,1,1,2,14.2
True,2022-10-30,4,-10,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,1406,2,3,0,0,0,2,0,6,1,0,2,1,3,3.6
True,2022-10-31,16,-2,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1900,6,8,0,0,4,6,1,11,0,1,4,3,5,14.8
True,2022-11-02,5,3,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1485,2,5,0,0,1,2,1,5,2,1,1,2,5,3.2
True,2022-11-04,17,15,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,2165,8,10,0,0,1,2,1,14,2,1,4,4,4,17.3
True,2022-11-06,12,-1,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,LOSS,2087,6,12,0,0,0,0,3,6,2,3,1,1,1,13.6
True,2022-11-07,10,-15,LOS ANGELES CLIPPERS,HOME,CLEVELAND CAVALIERS,WIN,1982,2,7,0,0,6,8,4,5,0,1,1,0,1,10.7
True,2022-11-09,10,-8,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,WIN,2173,4,4,0,0,2,5,2,6,2,1,2,2,3,11.4
True,2022-11-12,16,-5,LOS ANGELES CLIPPERS,HOME,BROOKLYN NETS,LOSS,1662,6,8,0,0,4,6,5,10,0,0,0,5,4,11.9
True,2022-11-14,9,8,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,1586,3,5,0,0,3,3,3,4,1,0,1,2,2,8.6
True,2022-11-15,3,-9,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,LOSS,1958,0,2,0,0,3,4,2,5,4,0,2,1,5,5.3
True,2022-11-17,9,15,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,2372,3,8,0,0,3,4,5,13,1,0,0,5,5,5.3
True,2022-11-19,3,10,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,1439,0,1,0,0,3,6,3,8,1,0,1,1,4,4.4
True,2022-11-21,14,-3,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,2114,6,8,0,0,2,3,6,8,2,0,2,3,4,15.2
True,2022-11-23,8,-8,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1557,4,5,0,0,0,0,2,2,1,0,1,1,1,8.1
True,2022-11-25,6,-22,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1761,2,6,0,0,2,2,2,7,0,0,0,1,2,4.3
True,2022-11-27,31,13,LOS ANGELES CLIPPERS,HOME,INDIANA PACERS,WIN,2140,14,17,0,0,3,3,12,17,3,0,3,5,6,35.0
True,2022-11-29,12,-21,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1671,5,8,0,0,2,2,5,8,0,2,1,2,1,14.6
True,2022-11-30,12,-18,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1825,5,7,0,0,2,2,2,5,0,0,1,2,3,9.5
True,2022-12-03,13,-11,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,1625,5,6,0,0,3,4,5,10,1,1,0,1,4,16.0
True,2022-12-05,9,-19,LOS ANGELES CLIPPERS,AWAY,CHARLOTTE HORNETS,WIN,1753,3,4,0,0,3,5,4,4,0,0,2,2,2,9.2
True,2022-12-07,16,2,LOS ANGELES CLIPPERS,AWAY,ORLANDO MAGIC,LOSS,2228,6,9,0,0,4,8,3,10,1,0,2,2,6,13.3
True,2022-12-08,9,10,LOS ANGELES CLIPPERS,AWAY,MIAMI HEAT,LOSS,2025,3,4,0,0,3,3,0,8,0,1,1,2,3,8.3
True,2022-12-10,4,-8,LOS ANGELES CLIPPERS,AWAY,WASHINGTON WIZARDS,WIN,1197,2,5,0,0,0,0,2,3,0,0,0,2,2,0.8
True,2022-12-12,4,14,LOS ANGELES CLIPPERS,HOME,BOSTON CELTICS,WIN,1026,1,1,0,0,2,4,1,2,1,0,1,1,5,2.6
True,2022-12-14,2,-10,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1035,1,5,0,0,0,0,5,3,0,0,0,2,2,0.5
True,2022-12-21,4,2,LOS ANGELES CLIPPERS,HOME,CHARLOTTE HORNETS,WIN,1356,2,3,0,0,0,0,3,5,1,0,1,2,5,3.7
True,2022-12-23,7,0,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,LOSS,2013,3,3,0,0,1,1,2,10,2,0,2,0,1,12.9
True,2022-12-26,12,10,LOS ANGELES CLIPPERS,AWAY,DETROIT PISTONS,WIN,2462,4,5,0,0,4,4,6,9,1,1,0,4,2,13.9
True,2022-12-27,23,15,LOS ANGELES CLIPPERS,AWAY,TORONTO RAPTORS,WIN,1876,7,13,0,0,9,12,10,6,1,0,1,2,3,22.5
True,2022-12-29,13,10,LOS ANGELES CLIPPERS,AWAY,BOSTON CELTICS,LOSS,1798,6,9,0,0,1,4,4,7,0,1,1,1,3,12.3
True,2022-12-31,6,0,LOS ANGELES CLIPPERS,AWAY,INDIANA PACERS,LOSS,1615,3,5,0,0,0,0,3,4,0,0,0,1,1,5.6
True,2023-01-02,10,0,LOS ANGELES CLIPPERS,HOME,MIAMI HEAT,LOSS,2048,4,6,0,0,2,2,2,5,0,0,0,2,5,6.3
True,2023-01-05,8,-24,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,932,2,2,0,0,4,4,0,5,0,0,1,1,0,8.6
True,2023-01-06,9,-26,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1266,4,8,0,1,1,2,1,1,1,0,0,1,1,4.9
True,2023-01-08,17,6,LOS ANGELES CLIPPERS,HOME,ATLANTA HAWKS,LOSS,2259,6,9,0,0,5,6,8,10,3,0,1,2,4,20.5
True,2023-01-10,8,7,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,WIN,940,4,6,0,0,0,0,3,4,2,1,0,1,4,8.5
True,2023-01-13,6,-16,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,1677,2,7,0,0,2,2,3,4,1,1,0,1,3,4.7
True,2023-01-15,10,3,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1786,4,5,0,0,2,2,0,5,0,2,2,2,3,9.8
True,2023-01-17,12,-4,LOS ANGELES CLIPPERS,HOME,PHILADELPHIA 76ERS,LOSS,2102,5,7,0,0,2,2,2,7,1,0,2,0,3,13.5
True,2023-01-18,15,-11,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,1560,7,13,0,0,1,1,7,5,1,0,2,2,2,14.4
True,2023-01-20,12,12,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,2132,6,10,0,0,0,2,8,8,1,0,0,0,3,14.1
True,2023-01-22,6,0,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,WIN,1374,2,6,0,0,2,2,4,5,1,0,0,2,4,4.0
True,2023-01-24,6,7,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,2067,3,4,0,0,0,0,2,6,0,0,1,1,3,6.1
True,2023-01-26,11,16,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,1255,4,5,0,0,3,6,1,4,0,0,2,1,5,8.2
True,2023-01-28,18,10,LOS ANGELES CLIPPERS,AWAY,ATLANTA HAWKS,WIN,2195,6,9,0,0,6,6,2,4,3,1,2,0,4,19.6
True,2023-01-29,2,-29,LOS ANGELES CLIPPERS,AWAY,CLEVELAND CAVALIERS,LOSS,1310,0,5,0,0,2,2,2,5,0,0,0,1,1,0.0
True,2023-01-31,14,15,LOS ANGELES CLIPPERS,AWAY,CHICAGO BULLS,WIN,1680,6,7,0,0,2,5,3,9,1,0,3,0,2,17.1
True,2023-02-02,12,-6,LOS ANGELES CLIPPERS,AWAY,MILWAUKEE BUCKS,LOSS,1754,4,7,0,0,4,5,6,7,1,0,1,1,6,12.6
True,2023-02-04,2,0,LOS ANGELES CLIPPERS,AWAY,NEW YORK KNICKS,WIN,2372,1,3,0,0,0,0,2,11,1,0,1,1,1,5.0
True,2023-02-06,19,27,LOS ANGELES CLIPPERS,AWAY,BROOKLYN NETS,WIN,1800,6,9,0,0,7,10,5,7,2,3,1,0,5,22.6
True,2023-02-08,9,2,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,LOSS,1721,3,3,0,0,3,5,3,7,0,0,2,1,0,11.9
True,2023-02-10,6,-18,LOS ANGELES CLIPPERS,HOME,MILWAUKEE BUCKS,LOSS,2046,3,4,0,0,0,0,0,8,1,0,3,4,1,5.2
True,2023-02-14,10,8,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,WIN,1690,5,9,0,0,0,0,0,2,3,0,1,1,3,6.9
True,2023-02-16,13,2,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,1760,6,9,0,0,1,2,6,6,1,1,0,2,3,13.2
True,2023-02-28,12,3,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1707,5,7,0,0,2,2,3,6,1,1,2,2,3,12.9
True,2023-03-05,6,-14,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,WIN,1054,3,5,0,0,0,0,4,5,2,0,2,1,2,9.0
True,2023-03-08,17,-2,LOS ANGELES CLIPPERS,HOME,TORONTO RAPTORS,WIN,1641,7,8,0,0,3,4,1,7,1,0,2,1,3,16.5
True,2023-03-11,8,6,LOS ANGELES CLIPPERS,HOME,NEW YORK KNICKS,WIN,1640,4,6,0,0,0,0,2,4,0,0,1,0,3,7.5
True,2023-03-15,19,10,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,WIN,1826,6,8,0,0,7,8,5,11,2,0,1,1,2,22.5
True,2023-03-18,16,-2,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,LOSS,1634,7,16,0,0,2,2,7,9,0,0,2,2,2,13.8
True,2023-03-19,14,26,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2033,7,11,0,0,0,2,3,7,2,1,0,0,1,14.5
True,2023-03-21,13,4,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1158,5,5,0,0,3,4,0,3,1,0,0,0,4,11.1
True,2023-03-23,6,-6,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,WIN,1425,2,3,0,0,2,2,1,9,1,0,2,1,1,8.8
True,2023-03-25,13,-14,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,1050,6,7,0,0,1,2,0,5,2,0,2,0,3,13.2
True,2023-03-27,11,16,LOS ANGELES CLIPPERS,HOME,CHICAGO BULLS,WIN,1467,5,6,0,0,1,5,1,6,1,0,0,2,3,7.2
True,2023-03-29,10,9,LOS ANGELES CLIPPERS,AWAY,MEMPHIS GRIZZLIES,WIN,1374,4,7,0,0,2,5,0,7,0,0,1,1,5,5.3
True,2023-03-31,15,0,LOS ANGELES CLIPPERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1538,6,10,0,0,3,5,5,10,0,2,1,2,2,16.0
True,2023-04-01,15,5,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,LOSS,1775,5,6,0,0,5,6,1,5,0,0,1,0,4,13.7
True,2023-04-05,17,9,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,WIN,1980,6,10,0,0,5,6,4,9,1,2,1,2,2,18.1
True,2023-04-08,14,7,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1354,6,8,0,0,2,2,1,9,1,0,1,0,2,14.8
True,2023-04-09,10,-6,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,1502,5,7,0,0,0,0,2,6,0,0,2,1,3,9.5
