active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-23,0,-12,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,149,0,1,0,1,0,0,0,0,0,0,0,1,0,-1.7
True,2022-11-23,0,-2,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,WIN,57,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-11-27,0,-4,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,LOSS,205,0,1,0,1,0,1,0,1,0,0,0,0,0,-0.8
True,2022-11-28,2,10,MINNESOTA TIMBERWOLVES,AWAY,WASHINGTON WIZARDS,LOSS,270,0,2,0,0,2,2,0,2,0,0,0,0,1,0.8
True,2022-11-30,7,-4,MINNESOTA TIMBERWOLVES,HOME,MEMPHIS GRIZZLIES,WIN,1220,3,6,1,3,0,0,1,2,2,1,1,0,4,6.8
True,2022-12-03,9,-2,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,LOSS,961,4,6,1,3,0,0,0,0,1,0,0,2,1,4.7
True,2022-12-07,0,-13,MINNESOTA TIMBERWOLVES,HOME,INDIANA PACERS,WIN,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-09,0,-3,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,WIN,224,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-12-10,0,-3,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,222,0,0,0,0,0,0,0,1,0,0,0,1,2,-1.5
True,2022-12-12,4,3,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,243,2,3,0,1,0,0,0,1,1,1,0,0,0,4.7
True,2022-12-14,4,1,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,905,1,1,0,0,2,2,0,2,1,2,1,1,0,6.7
True,2022-12-16,0,-5,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,397,0,3,0,1,0,0,0,0,3,1,0,0,0,1.0
True,2022-12-18,0,6,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,105,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0
True,2022-12-19,2,-2,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,270,1,1,0,0,0,0,1,0,0,0,0,0,2,1.6
True,2022-12-21,2,-4,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,282,1,2,0,1,0,0,0,1,0,0,0,1,1,-0.1
True,2022-12-23,2,4,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,72,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2023-01-06,0,-1,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,WIN,97,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
True,2023-01-18,0,-6,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,551,0,1,0,0,0,0,0,1,1,0,1,0,1,0.6
True,2023-01-19,0,-6,MINNESOTA TIMBERWOLVES,HOME,TORONTO RAPTORS,WIN,206,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-28,0,-2,MINNESOTA TIMBERWOLVES,HOME,SACRAMENTO KINGS,WIN,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-05,2,-1,MINNESOTA TIMBERWOLVES,HOME,DENVER NUGGETS,WIN,256,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4
True,2023-02-07,2,2,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,1068,1,4,0,2,0,0,0,2,5,0,1,1,1,3.0
True,2023-02-08,0,-5,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,WIN,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-10,0,0,MINNESOTA TIMBERWOLVES,AWAY,MEMPHIS GRIZZLIES,LOSS,99,0,1,0,1,0,0,0,0,0,1,0,0,0,0.3
True,2023-03-07,2,-4,MINNESOTA TIMBERWOLVES,HOME,PHILADELPHIA 76ERS,LOSS,281,1,2,0,1,0,0,0,0,1,1,0,0,0,2.7
True,2023-03-13,0,-2,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,WIN,108,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2023-03-18,2,4,MINNESOTA TIMBERWOLVES,AWAY,TORONTO RAPTORS,LOSS,181,1,3,0,0,0,0,1,0,0,1,0,0,0,2.0
True,2023-04-08,0,-4,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,WIN,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-04-09,2,2,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,4,1,1,0,0,0,0,1,0,0,0,0,0,0,2.4
