active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-28,4,10,MINNESOTA TIMBERWOLVES,AWAY,WASHINGTON WIZARDS,LOSS,270,1,1,0,0,2,2,2,1,1,0,1,0,1,6.4
True,2022-12-12,0,3,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,243,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3
True,2022-12-14,4,5,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,156,1,1,0,0,2,2,0,0,1,0,0,0,0,4.4
True,2022-12-18,2,6,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,105,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2022-12-19,0,-4,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-23,0,4,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,72,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-06,0,-3,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,WIN,83,0,0,0,0,0,0,0,2,0,0,1,0,1,0.9
True,2023-02-05,2,-1,MINNESOTA TIMBERWOLVES,HOME,DENVER NUGGETS,WIN,256,1,3,0,0,0,0,0,1,1,0,0,0,0,1.3
True,2023-02-07,11,3,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,1024,4,7,1,1,2,2,1,4,0,1,2,0,1,11.6
True,2023-02-08,12,9,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,WIN,1741,6,12,0,2,0,0,2,9,0,1,2,0,4,10.9
True,2023-02-10,0,0,MINNESOTA TIMBERWOLVES,AWAY,MEMPHIS GRIZZLIES,LOSS,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-07,0,1,MINNESOTA TIMBERWOLVES,HOME,PHILADELPHIA 76ERS,LOSS,325,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-03-13,5,-2,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,WIN,129,2,3,1,1,0,0,0,0,0,0,0,0,1,3.3
True,2023-03-18,6,-1,MINNESOTA TIMBERWOLVES,AWAY,TORONTO RAPTORS,LOSS,944,2,3,0,0,2,2,0,3,1,1,0,3,2,3.5
True,2023-04-08,0,-6,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,WIN,273,0,2,0,0,0,0,0,0,1,0,0,0,0,-0.7
