active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,15,3,NEW YORK KNICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,2165,7,18,1,4,0,0,2,4,9,0,0,0,3,12.9
True,2022-10-21,17,3,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1702,6,11,2,4,3,5,0,2,6,1,0,0,2,15.9
True,2022-10-24,21,17,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,1982,8,16,2,4,3,3,0,3,6,2,0,3,5,15.1
True,2022-10-26,27,7,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,2435,10,15,2,5,5,5,0,7,13,1,1,3,2,29.6
True,2022-10-28,13,-19,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1988,3,10,1,4,6,9,0,3,2,1,0,3,3,5.1
True,2022-10-30,16,2,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,2037,8,19,0,3,0,1,0,4,7,3,0,1,2,12.8
True,2022-11-02,20,-4,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,1860,8,15,1,4,3,4,0,1,5,0,1,3,2,13.0
True,2022-11-04,23,11,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2149,7,15,1,4,8,9,1,5,7,0,0,1,3,19.8
True,2022-11-05,22,-3,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,1961,10,17,0,2,2,2,0,3,10,0,0,0,1,21.6
True,2022-11-07,23,5,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2015,9,14,2,5,3,3,1,4,8,0,0,3,3,20.1
True,2022-11-09,14,-22,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,1858,4,14,1,5,5,5,1,3,2,0,0,3,0,5.8
True,2022-11-11,26,8,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1961,8,16,2,5,8,8,0,1,7,4,0,0,3,26.0
True,2022-11-13,17,-20,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1438,5,9,0,2,7,7,0,1,7,3,0,1,2,19.1
True,2022-11-15,25,9,NEW YORK KNICKS,AWAY,UTAH JAZZ,WIN,2064,10,20,1,4,4,4,1,2,8,3,0,4,5,18.9
True,2022-11-16,21,1,NEW YORK KNICKS,AWAY,DENVER NUGGETS,WIN,1867,7,13,2,4,5,5,0,5,7,0,0,1,2,19.3
True,2022-11-18,13,-5,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1901,2,13,1,5,8,8,0,5,4,2,0,2,1,8.6
True,2022-11-20,27,-22,NEW YORK KNICKS,AWAY,PHOENIX SUNS,LOSS,1757,11,21,2,4,3,4,1,2,3,0,1,1,1,19.0
True,2022-11-21,34,5,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,WIN,2055,14,20,1,6,5,6,0,0,9,1,0,2,1,30.1
True,2022-11-25,32,-6,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2478,10,22,3,8,9,9,1,4,4,0,0,1,5,22.3
True,2022-11-27,30,-1,NEW YORK KNICKS,HOME,MEMPHIS GRIZZLIES,LOSS,2135,8,20,3,5,11,12,1,4,9,1,0,2,5,24.0
True,2022-11-29,16,15,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1095,6,8,2,2,2,2,1,0,5,1,0,1,4,15.4
True,2022-11-30,17,-2,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,2043,8,22,0,4,1,4,1,4,5,1,1,1,1,9.3
True,2022-12-03,13,-26,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,1647,5,11,2,3,1,2,0,2,3,0,0,3,2,5.8
True,2022-12-04,23,3,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,1936,7,16,2,4,7,8,0,2,4,0,1,3,1,14.9
True,2022-12-07,8,9,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1560,2,14,0,2,4,4,1,3,6,2,0,4,3,1.6
True,2022-12-09,11,13,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,WIN,1648,3,13,1,4,4,4,0,1,11,1,0,2,3,8.9
True,2022-12-11,18,17,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,1623,7,14,0,2,4,4,1,2,3,2,0,5,1,11.0
True,2022-12-14,30,1,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,2364,11,21,3,6,5,5,0,2,7,1,0,2,2,23.4
True,2022-12-16,22,16,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,1884,7,14,6,9,2,2,0,2,6,3,0,3,1,19.4
True,2022-12-18,30,3,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,2092,11,22,3,3,5,5,0,2,3,2,0,4,5,17.7
True,2022-12-20,21,22,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,WIN,1780,7,16,2,5,5,6,0,3,5,1,0,0,1,17.2
True,2022-12-21,7,-1,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,2369,3,14,0,3,1,1,0,3,12,0,0,5,3,1.5
True,2022-12-23,12,-7,NEW YORK KNICKS,HOME,CHICAGO BULLS,LOSS,2287,5,15,1,3,1,4,1,3,9,0,0,1,0,9.2
True,2022-12-25,23,-7,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,2112,10,19,2,5,1,2,0,3,11,0,0,1,2,20.1
True,2023-01-02,24,20,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,2335,8,18,2,3,6,11,0,4,6,0,0,2,3,14.8
True,2023-01-04,38,14,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,WIN,2423,17,27,3,7,1,3,2,5,6,0,0,4,1,27.8
True,2023-01-06,26,-15,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,2308,9,19,3,6,5,7,1,4,8,1,0,5,2,18.2
True,2023-01-09,44,-2,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,2319,15,30,4,10,10,10,2,5,4,0,0,3,0,31.7
True,2023-01-11,34,7,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,2498,11,20,3,4,9,9,0,3,4,0,0,1,3,25.9
