active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-14,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,1315,0,3,0,2,0,0,0,3,0,0,1,0,3,-1.7
True,2022-10-24,7,-17,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,LOSS,1265,2,4,1,2,2,2,0,3,0,0,0,1,0,4.9
True,2022-10-26,2,2,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,905,1,1,0,0,0,0,0,0,0,1,0,0,4,1.1
True,2022-10-28,3,2,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1442,1,6,1,6,0,0,0,3,2,0,0,2,4,-2.1
True,2022-11-01,3,5,ORLANDO MAGIC,AWAY,OKLAHOMA CITY THUNDER,LOSS,892,1,5,1,3,0,0,0,1,1,0,0,0,0,0.9
True,2022-11-03,2,11,ORLANDO MAGIC,HOME,GOLDEN STATE WARRIORS,WIN,292,0,1,0,1,2,2,1,0,0,1,0,0,1,2.6
True,2022-11-07,0,-5,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,LOSS,555,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7
True,2022-11-09,8,10,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,WIN,1585,3,5,1,2,1,2,1,1,1,0,0,0,1,6.6
True,2022-11-11,3,-1,ORLANDO MAGIC,HOME,PHOENIX SUNS,WIN,1156,1,1,1,1,0,0,0,2,0,0,0,1,0,2.3
True,2022-11-14,6,8,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,LOSS,920,2,5,2,5,0,0,2,2,1,0,0,0,1,5.6
True,2022-11-16,3,3,ORLANDO MAGIC,HOME,MINNESOTA TIMBERWOLVES,LOSS,1339,1,3,1,3,0,0,0,4,0,0,0,0,0,2.5
True,2022-11-19,2,-4,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1111,0,4,0,1,2,2,1,1,1,0,0,0,4,-0.7
