active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-23,2,-2,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,173,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,2022-10-25,0,2,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,159,0,1,0,0,0,0,0,2,0,0,1,0,0,0.6
True,2022-10-27,3,6,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,107,1,1,0,0,1,2,0,0,0,0,1,0,0,3.0
True,2022-10-30,0,-3,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,LOSS,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-02,13,6,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,732,6,8,0,0,1,3,3,4,0,0,1,0,3,11.8
True,2022-11-09,0,2,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,WIN,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-11-12,0,1,LOS ANGELES CLIPPERS,HOME,BROOKLYN NETS,LOSS,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-14,6,-3,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,305,2,2,0,0,2,2,2,1,0,0,1,0,0,7.8
True,2022-11-17,4,1,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,309,2,2,0,0,0,0,1,1,0,0,0,1,1,3.0
True,2022-11-19,6,-5,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,579,2,2,0,0,2,4,0,2,0,0,0,0,5,3.2
True,2022-11-23,10,4,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,741,4,7,0,0,2,6,3,3,0,0,0,0,1,7.7
True,2022-11-25,3,9,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,352,1,1,0,0,1,6,0,1,0,0,0,0,0,1.0
True,2022-11-27,10,-1,LOS ANGELES CLIPPERS,HOME,INDIANA PACERS,WIN,660,1,2,0,0,8,12,2,1,1,0,0,2,2,7.0
True,2022-11-29,0,-2,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,203,0,1,0,0,0,0,0,1,0,0,0,0,2,-1.2
True,2022-11-30,0,1,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,LOSS,209,0,2,0,0,0,0,1,2,0,1,0,0,0,0.9
True,2022-12-03,5,2,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,459,1,3,0,0,3,4,3,3,0,0,1,0,0,6.6
True,2022-12-05,8,8,LOS ANGELES CLIPPERS,AWAY,CHARLOTTE HORNETS,WIN,600,4,5,0,0,0,0,2,5,0,0,1,1,1,8.3
True,2022-12-07,7,-3,LOS ANGELES CLIPPERS,AWAY,ORLANDO MAGIC,LOSS,911,3,6,0,0,1,4,5,3,0,0,3,0,1,8.9
True,2022-12-08,2,-3,LOS ANGELES CLIPPERS,AWAY,MIAMI HEAT,LOSS,326,1,1,0,0,0,0,0,3,0,0,0,0,1,2.2
True,2022-12-10,4,-4,LOS ANGELES CLIPPERS,AWAY,WASHINGTON WIZARDS,WIN,404,2,2,0,0,0,0,1,0,0,0,0,0,0,4.1
True,2022-12-12,2,-1,LOS ANGELES CLIPPERS,HOME,BOSTON CELTICS,WIN,217,1,2,0,0,0,0,1,2,0,0,0,0,0,2.3
True,2022-12-14,0,-5,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,WIN,156,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3
True,2022-12-15,5,-2,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,LOSS,1394,2,6,0,0,1,3,6,6,0,0,1,2,2,4.7
True,2022-12-17,0,-7,LOS ANGELES CLIPPERS,HOME,WASHINGTON WIZARDS,WIN,258,0,0,0,0,0,0,1,0,1,0,0,1,0,0.4
