active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,20,8,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,1247,6,12,1,4,7,8,1,4,2,0,0,2,2,14.1
True,2022-10-21,11,-7,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,1159,2,6,0,0,7,8,2,1,4,0,0,0,1,11.3
True,2022-10-23,8,11,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,WIN,1131,2,10,1,3,3,4,3,2,1,2,0,2,1,4.4
True,2022-10-24,10,-5,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,929,4,7,1,2,1,1,1,4,1,0,0,1,3,7.1
True,2022-10-26,4,10,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,622,2,3,0,1,0,1,0,0,0,1,0,1,1,1.9
True,2022-10-28,13,-32,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,990,5,9,1,4,2,3,0,0,1,1,0,1,5,7.0
True,2022-10-29,19,7,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1912,7,12,3,6,2,2,1,1,4,0,1,3,2,14.1
True,2022-10-31,15,19,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1455,4,9,2,4,5,5,1,1,0,2,0,2,4,9.7
True,2022-11-02,19,-4,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,1852,7,16,1,4,4,5,1,2,3,2,0,3,2,11.8
True,2022-11-04,17,7,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,1716,7,13,3,5,0,0,2,2,3,0,0,2,3,11.6
True,2022-11-06,22,3,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,1634,6,13,2,5,8,9,0,3,2,1,0,3,1,14.8
True,2022-11-07,17,19,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,1677,5,10,1,4,6,7,0,5,3,0,0,0,2,14.4
True,2022-11-09,3,-10,UTAH JAZZ,AWAY,ATLANTA HAWKS,WIN,789,1,6,0,0,1,2,0,0,0,1,0,1,1,-1.6
True,2022-11-12,17,-4,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,LOSS,1311,6,9,1,2,4,4,1,3,2,0,0,2,3,12.9
True,2022-11-13,15,-3,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,LOSS,1492,7,15,0,1,1,5,1,1,1,1,0,2,2,5.6
True,2022-11-15,3,-17,UTAH JAZZ,HOME,NEW YORK KNICKS,LOSS,1044,1,5,0,1,1,1,0,1,4,0,0,1,2,1.2
True,2022-11-18,13,-20,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,1294,5,10,0,1,3,4,0,1,0,0,0,1,3,5.7
True,2022-11-19,9,-9,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,1207,2,5,1,2,4,4,1,0,4,1,0,2,0,8.8
True,2022-11-21,10,-9,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1680,5,13,0,2,0,0,0,2,1,0,0,0,2,3.4
True,2022-11-23,17,-11,UTAH JAZZ,HOME,DETROIT PISTONS,LOSS,2106,7,12,1,4,2,2,0,0,12,0,0,2,5,15.8
True,2022-11-25,13,2,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,1449,4,8,1,2,4,4,1,0,7,1,0,0,3,14.4
True,2022-11-26,20,1,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,1789,7,11,0,1,6,8,1,1,5,2,0,2,3,17.6
True,2022-11-28,17,5,UTAH JAZZ,HOME,CHICAGO BULLS,LOSS,2185,7,11,1,2,2,2,1,3,6,0,1,3,2,14.8
True,2022-11-30,21,19,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,1830,8,13,1,2,4,5,3,3,6,0,0,7,1,14.5
True,2022-12-02,18,-3,UTAH JAZZ,HOME,INDIANA PACERS,WIN,1663,5,10,0,0,8,8,0,0,5,0,0,3,3,12.3
True,2022-12-03,19,8,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,LOSS,1885,6,11,2,4,5,6,1,2,0,1,0,1,2,13.8
True,2022-12-07,17,6,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1594,4,9,1,3,8,10,0,0,3,0,0,2,2,10.8
True,2022-12-22,18,12,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,1039,6,7,2,2,4,4,1,0,0,0,0,1,4,13.6
