active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,0,0,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,858,0,3,0,3,0,0,0,4,0,0,0,2,1,-3.3
True,2022-10-20,8,-2,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1298,3,7,1,4,1,1,0,4,3,1,0,1,2,6.8
True,2022-10-23,4,-5,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1178,2,3,0,1,0,0,0,2,0,1,0,0,1,3.9
True,2022-10-26,2,-11,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,596,1,2,0,0,0,0,0,3,0,0,0,0,3,0.7
True,2022-11-04,2,-9,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,876,0,0,0,0,2,2,0,1,0,0,1,0,1,2.6
True,2022-11-06,2,-3,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,LOSS,702,1,2,0,1,0,0,0,1,1,0,0,1,2,0.2
True,2022-11-07,1,-8,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,771,0,4,0,1,1,2,0,2,0,0,2,2,2,-3.0
True,2022-11-09,0,3,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,225,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2022-11-11,5,1,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,775,2,3,1,1,0,0,1,2,1,0,0,1,3,3.5
True,2022-11-13,2,-3,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,127,1,1,0,0,0,0,0,0,0,1,0,1,1,1.3
True,2022-11-25,0,-2,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-30,0,3,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,WIN,115,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
True,2022-12-06,2,1,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,201,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,2022-12-07,3,5,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,939,1,2,0,0,1,2,0,3,2,0,0,1,1,2.5
True,2022-12-28,0,8,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,797,0,1,0,0,0,0,3,4,3,0,0,0,1,4.3
True,2022-12-30,7,13,LOS ANGELES LAKERS,AWAY,ATLANTA HAWKS,WIN,905,3,3,1,1,0,0,1,2,0,1,0,0,3,7.2
True,2023-01-02,0,-10,LOS ANGELES LAKERS,AWAY,CHARLOTTE HORNETS,WIN,564,0,1,0,1,0,0,0,2,0,0,0,1,3,-2.3
True,2023-01-04,2,-16,LOS ANGELES LAKERS,HOME,MIAMI HEAT,WIN,1359,1,2,0,1,0,0,1,2,0,1,1,2,3,0.8
True,2023-01-06,4,3,LOS ANGELES LAKERS,HOME,ATLANTA HAWKS,WIN,1279,2,3,0,1,0,0,1,3,1,2,1,1,2,5.9
True,2023-01-07,4,-22,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,WIN,1098,2,2,0,0,0,0,1,0,0,1,1,1,4,3.2
True,2023-01-09,5,0,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1086,2,4,0,0,1,2,1,0,3,0,0,0,0,5.4
True,2023-01-12,4,-4,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1068,1,5,0,1,2,2,0,3,2,0,1,0,2,3.1
True,2023-01-15,6,-12,LOS ANGELES LAKERS,HOME,PHILADELPHIA 76ERS,LOSS,1316,3,3,0,0,0,0,1,3,1,1,0,0,1,8.0
True,2023-01-16,7,-6,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,WIN,974,3,4,1,2,0,0,1,1,3,1,0,1,2,7.7
True,2023-01-18,4,12,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,665,2,2,0,0,0,0,1,1,1,0,0,0,2,4.3
True,2023-01-20,3,0,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,578,0,1,0,0,3,4,0,1,1,0,0,0,1,2.5
True,2023-01-22,0,-3,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,257,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-24,4,-4,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,700,2,5,0,2,0,0,0,1,1,0,0,0,2,1.5
True,2023-01-25,0,0,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,45,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2023-01-30,0,-14,LOS ANGELES LAKERS,AWAY,BROOKLYN NETS,LOSS,470,0,1,0,0,0,0,2,0,1,0,0,1,1,0.0
True,2023-02-15,7,-2,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1502,3,5,1,2,0,0,1,9,1,1,0,1,1,8.4
True,2023-02-23,0,-5,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,WIN,928,0,2,0,1,0,0,0,1,1,1,1,1,2,-0.5
True,2023-02-25,0,4,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,559,0,1,0,0,0,0,1,3,2,0,0,1,3,0.1
True,2023-02-28,0,-12,UTAH JAZZ,HOME,SAN ANTONIO SPURS,LOSS,444,0,3,0,1,0,0,0,1,0,0,0,0,1,-2.2
