active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,0,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,868,1,3,0,1,0,0,2,0,1,0,0,0,3,1.2
True,2022-10-21,4,-21,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,901,1,5,0,0,2,7,0,2,0,1,0,0,1,0.1
True,2022-10-22,0,-8,DETROIT PISTONS,AWAY,INDIANA PACERS,LOSS,369,0,2,0,0,0,0,0,2,2,0,0,0,0,0.6
True,2022-10-25,7,0,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,1046,3,5,0,0,1,3,2,5,0,0,0,0,3,5.6
True,2022-10-26,4,6,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,922,2,8,0,0,0,0,1,0,1,1,0,1,2,-0.2
True,2022-10-28,8,-3,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,874,3,4,0,1,2,2,1,4,3,0,0,1,1,9.0
True,2022-10-30,4,-6,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,WIN,733,1,3,0,0,2,2,1,1,1,2,0,2,2,3.2
True,2022-10-31,13,6,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1208,4,9,0,1,5,6,2,3,0,1,0,0,3,10.0
True,2022-11-02,4,-8,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,683,2,4,0,0,0,0,0,2,0,0,0,1,5,-0.4
True,2022-11-04,0,-9,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,222,0,3,0,1,0,0,0,0,0,0,1,0,1,-1.8
True,2022-11-07,11,-10,DETROIT PISTONS,HOME,OKLAHOMA CITY THUNDER,WIN,1069,4,6,0,0,3,4,5,3,0,1,0,2,2,10.6
True,2022-11-09,4,-7,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,867,2,8,0,1,0,0,0,2,0,1,0,2,4,-2.8
True,2022-11-11,13,3,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,918,4,5,0,0,5,6,1,1,1,0,1,1,1,11.7
True,2022-11-12,5,-6,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,910,2,9,1,3,0,0,1,1,1,0,0,0,2,0.4
True,2022-11-14,8,6,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,997,2,3,0,0,4,5,1,0,1,1,0,1,2,6.9
True,2022-11-17,5,3,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,983,2,4,0,1,1,2,0,3,2,0,2,0,3,5.1
True,2022-11-18,13,6,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,1210,5,6,0,1,3,5,1,1,1,1,0,1,1,11.3
True,2022-11-20,4,4,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,1074,2,3,0,0,0,0,1,1,0,1,0,1,1,3.3
True,2022-11-22,6,12,DETROIT PISTONS,AWAY,DENVER NUGGETS,WIN,934,3,5,0,1,0,0,1,1,0,0,0,0,2,3.9
True,2022-11-23,9,5,DETROIT PISTONS,AWAY,UTAH JAZZ,WIN,1354,4,8,0,0,1,1,1,4,2,2,0,1,4,7.7
True,2022-11-25,10,9,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,1307,4,6,0,0,2,2,0,6,1,0,0,5,2,4.1
True,2022-11-27,4,-6,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,1163,1,3,1,2,1,4,0,3,1,1,0,1,4,1.1
