active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,24,6,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,2090,8,16,6,10,2,2,1,4,2,1,0,1,3,18.1
True,2022-10-21,18,-6,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,1562,7,9,1,2,3,4,0,4,1,0,0,1,0,15.0
True,2022-10-22,16,-4,DETROIT PISTONS,AWAY,INDIANA PACERS,LOSS,1949,5,16,4,10,2,2,1,2,5,0,0,0,1,11.2
True,2022-10-25,25,-11,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,1758,8,13,4,7,5,5,1,2,1,0,0,2,2,18.3
True,2022-10-26,33,-3,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,2021,12,21,6,12,3,4,0,2,3,0,0,2,5,21.4
True,2022-10-28,22,-21,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,1823,5,12,3,6,9,9,1,3,0,1,0,1,2,16.4
True,2022-10-30,21,4,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,WIN,2088,5,8,3,6,8,8,0,3,3,0,0,1,1,19.0
True,2022-10-31,23,-5,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,2105,9,16,3,6,2,2,1,3,2,2,0,1,2,18.6
True,2022-11-02,14,-24,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1668,5,12,3,7,1,1,0,3,2,0,0,7,3,1.7
True,2022-11-04,6,-4,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,1602,2,9,1,4,1,1,1,1,0,1,0,2,3,-0.7
True,2022-11-07,12,15,DETROIT PISTONS,HOME,OKLAHOMA CITY THUNDER,WIN,1804,3,11,2,7,4,4,0,2,0,0,0,0,0,6.1
True,2022-11-09,17,-19,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,1571,6,11,1,4,4,6,0,2,1,1,0,2,0,11.2
True,2022-11-11,25,-11,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,2057,9,15,0,5,7,7,0,5,3,0,0,2,3,18.5
True,2022-11-12,28,-2,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1979,9,15,3,7,7,8,0,6,4,0,0,4,3,20.1
True,2022-11-14,18,-1,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,1975,5,12,2,8,6,10,0,5,5,0,0,5,2,9.2
True,2022-11-17,26,4,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,2093,10,18,2,4,4,5,0,3,3,2,0,2,2,19.2
True,2022-11-18,20,-7,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,2105,7,15,0,2,6,7,2,4,5,0,0,2,1,15.6
True,2022-11-20,21,-23,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,2023,8,12,2,5,3,3,0,3,2,0,0,3,3,13.9
True,2022-11-22,22,-7,DETROIT PISTONS,AWAY,DENVER NUGGETS,WIN,2120,8,17,1,5,5,6,2,7,4,0,0,3,1,15.8
True,2022-11-23,23,1,DETROIT PISTONS,AWAY,UTAH JAZZ,WIN,2053,7,18,1,3,8,8,1,4,3,1,0,1,1,16.8
True,2022-11-25,19,-6,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,1993,9,21,1,4,0,0,1,3,3,0,0,5,2,5.8
True,2022-11-29,13,-21,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,1162,4,6,1,2,4,6,0,0,2,0,0,3,0,8.0
True,2022-12-01,30,14,DETROIT PISTONS,HOME,DALLAS MAVERICKS,WIN,2471,10,14,5,6,5,6,0,4,4,2,0,2,3,26.6
True,2022-12-04,18,-29,DETROIT PISTONS,HOME,MEMPHIS GRIZZLIES,LOSS,1442,4,8,2,4,8,8,0,1,1,1,0,3,0,13.0
True,2022-12-06,31,13,DETROIT PISTONS,AWAY,MIAMI HEAT,WIN,1821,12,16,7,9,0,0,0,3,5,3,0,3,1,28.6
True,2022-12-07,5,-13,DETROIT PISTONS,AWAY,NEW ORLEANS PELICANS,LOSS,1210,1,8,1,4,2,2,1,2,0,0,0,2,0,-0.9
True,2022-12-09,19,-19,DETROIT PISTONS,AWAY,MEMPHIS GRIZZLIES,LOSS,1332,6,15,2,6,5,5,3,1,0,0,0,2,1,10.9
True,2022-12-11,38,8,DETROIT PISTONS,HOME,LOS ANGELES LAKERS,LOSS,2086,12,22,6,12,8,8,1,3,2,1,1,4,3,26.9
True,2022-12-14,24,8,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,WIN,2221,8,19,3,9,5,6,0,4,4,0,0,1,3,15.3
True,2022-12-16,22,-17,DETROIT PISTONS,HOME,SACRAMENTO KINGS,LOSS,1817,6,16,1,5,9,9,0,2,2,1,0,3,1,12.8
True,2022-12-18,26,9,DETROIT PISTONS,HOME,BROOKLYN NETS,LOSS,1846,7,16,3,8,9,9,0,1,4,0,0,2,1,18.3
True,2022-12-20,15,-21,DETROIT PISTONS,HOME,UTAH JAZZ,LOSS,1857,5,13,2,6,3,3,0,3,3,1,0,2,4,8.3
True,2022-12-21,10,-2,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1411,1,3,0,0,8,9,1,7,0,0,0,2,1,8.3
True,2022-12-23,23,-12,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,1820,8,20,2,7,5,5,1,2,1,1,0,3,2,11.4
True,2022-12-26,23,-15,DETROIT PISTONS,HOME,LOS ANGELES CLIPPERS,LOSS,2367,7,20,1,6,8,9,0,3,3,2,1,5,3,10.9
True,2022-12-28,14,25,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,2144,4,14,1,5,5,6,0,3,5,0,0,1,3,7.6
True,2022-12-30,20,-16,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,1869,8,19,2,6,2,4,1,3,6,1,0,3,1,12.5
True,2022-12-31,28,1,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1889,10,14,3,4,5,5,2,4,5,1,0,2,1,26.9
True,2023-01-02,21,-12,DETROIT PISTONS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1524,8,15,2,3,3,3,0,2,3,0,0,1,1,15.0
True,2023-01-04,29,5,DETROIT PISTONS,AWAY,GOLDEN STATE WARRIORS,WIN,1994,10,15,5,6,4,5,0,4,5,2,0,0,1,28.4
True,2023-01-06,21,-16,DETROIT PISTONS,AWAY,SAN ANTONIO SPURS,LOSS,1890,9,20,2,7,1,2,1,2,3,0,0,4,1,9.2
True,2023-01-08,20,-8,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,LOSS,2149,7,17,1,4,5,5,0,2,5,1,0,2,2,13.2
True,2023-01-11,27,11,DETROIT PISTONS,HOME,MINNESOTA TIMBERWOLVES,WIN,1923,9,15,5,8,4,5,1,5,4,1,1,2,3,23.2
True,2023-01-13,22,-10,DETROIT PISTONS,HOME,NEW ORLEANS PELICANS,LOSS,2160,9,19,1,7,3,5,0,3,2,0,1,0,2,13.7
True,2023-01-19,25,-13,DETROIT PISTONS,HOME,CHICAGO BULLS,LOSS,2093,9,20,3,9,4,6,2,3,3,0,0,2,0,16.2
True,2023-01-23,33,-23,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,LOSS,1654,11,15,6,7,5,5,0,3,0,1,0,2,2,26.0
True,2023-01-26,11,11,DETROIT PISTONS,AWAY,BROOKLYN NETS,WIN,1902,4,15,0,4,3,4,0,6,1,1,1,2,2,3.1
True,2023-01-28,18,-5,DETROIT PISTONS,HOME,HOUSTON ROCKETS,LOSS,2227,6,17,1,6,5,6,1,1,3,1,0,1,2,10.4
True,2023-01-30,29,-1,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,2183,10,15,4,7,5,5,1,4,2,0,0,4,3,20.6
True,2023-02-03,21,6,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,WIN,2115,8,14,4,7,1,2,0,1,2,1,0,4,4,11.1
True,2023-02-04,23,-15,DETROIT PISTONS,HOME,PHOENIX SUNS,LOSS,2115,8,17,4,10,3,4,1,2,2,1,0,2,2,14.8
True,2023-02-06,21,-14,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1983,6,11,2,4,7,7,0,3,1,1,1,1,2,17.2
True,2023-02-08,15,-15,DETROIT PISTONS,AWAY,CLEVELAND CAVALIERS,LOSS,1894,4,13,1,5,6,7,0,3,3,0,0,3,1,6.7
