active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,14,7,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,1303,7,13,0,0,0,4,5,5,1,0,3,3,0,10.9
True,2022-10-21,8,-12,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,1360,4,8,0,1,0,1,3,7,0,1,0,1,4,6.2
True,2022-10-22,6,-8,DETROIT PISTONS,AWAY,INDIANA PACERS,LOSS,1107,3,3,0,0,0,0,2,1,0,0,2,0,0,8.2
True,2022-10-25,6,-9,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,1383,3,6,0,0,0,1,4,4,0,0,0,0,2,5.8
True,2022-10-26,7,-2,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,1255,3,4,0,0,1,2,3,6,0,0,1,1,2,7.8
True,2022-10-28,8,-19,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,1396,2,4,0,0,4,6,2,1,0,0,2,3,4,3.7
True,2022-10-30,3,2,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,WIN,904,1,3,0,0,1,2,3,1,0,0,1,1,2,2.2
True,2022-11-07,7,-11,DETROIT PISTONS,HOME,OKLAHOMA CITY THUNDER,WIN,1284,2,5,0,0,3,6,2,2,0,0,3,1,3,5.0
True,2022-11-09,10,-10,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,1783,5,8,0,0,0,0,5,5,2,1,1,0,1,14.1
True,2022-11-11,1,-3,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,1270,0,1,0,0,1,4,2,6,0,0,1,1,1,1.6
True,2022-11-12,2,-9,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1031,1,1,0,0,0,0,1,11,1,2,0,1,2,6.6
True,2022-11-14,2,0,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,1146,1,1,0,0,0,2,2,4,0,0,0,1,3,1.3
True,2022-11-17,8,5,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1507,3,6,0,0,2,3,4,5,0,0,1,1,3,7.4
True,2022-11-18,12,-6,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,1307,5,7,0,0,2,2,3,5,0,1,1,1,4,11.8
True,2022-11-20,12,-7,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,1624,6,8,0,0,0,0,5,3,1,1,0,1,2,13.1
True,2022-11-22,4,14,DETROIT PISTONS,AWAY,DENVER NUGGETS,WIN,1550,2,3,0,0,0,0,4,3,2,1,0,0,4,7.2
True,2022-11-23,4,6,DETROIT PISTONS,AWAY,UTAH JAZZ,WIN,1631,2,4,0,0,0,0,2,5,0,2,2,1,3,6.1
