active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-24,2,3,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,247,1,1,0,0,0,0,0,2,1,0,0,0,0,3.0
True,2022-10-26,2,0,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,468,1,1,0,0,0,0,1,2,2,0,0,0,0,4.4
True,2022-10-28,0,0,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,58,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-04,2,4,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,558,1,3,0,0,0,0,1,2,1,1,0,0,1,2.9
True,2022-11-05,3,-2,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,953,1,2,0,0,1,2,0,3,1,0,1,0,2,3.1
True,2022-11-09,5,22,PORTLAND TRAIL BLAZERS,AWAY,CHARLOTTE HORNETS,WIN,1054,2,3,1,2,0,0,1,2,2,0,0,1,3,4.2
True,2022-11-10,4,-5,PORTLAND TRAIL BLAZERS,AWAY,NEW ORLEANS PELICANS,WIN,491,2,4,0,2,0,0,0,2,0,0,0,1,0,1.6
True,2022-11-12,5,-2,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,481,1,2,0,0,3,4,2,2,1,0,0,0,0,6.3
True,2022-11-21,0,6,PORTLAND TRAIL BLAZERS,AWAY,MILWAUKEE BUCKS,LOSS,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2022-11-23,0,-3,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,162,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-30,2,-7,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,LOSS,869,1,4,0,1,0,0,1,4,0,0,0,1,4,-1.1
True,2022-12-03,0,12,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,WIN,770,0,4,0,2,0,0,1,3,0,0,1,1,1,-1.9
True,2022-12-04,0,-1,PORTLAND TRAIL BLAZERS,HOME,INDIANA PACERS,WIN,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-12,3,-5,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,363,1,1,1,1,0,0,0,0,0,0,0,0,1,2.3
True,2022-12-14,3,0,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,WIN,194,1,1,1,1,0,0,0,0,0,0,0,0,1,2.3
True,2022-12-16,0,5,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,720,0,3,0,1,0,0,2,1,1,0,0,0,1,-0.1
True,2022-12-17,0,-10,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,WIN,242,0,1,0,0,0,0,0,0,0,0,1,1,1,-1.4
True,2022-12-26,0,0,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE HORNETS,WIN,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-30,2,5,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,LOSS,839,1,4,0,0,0,0,4,2,0,1,0,1,2,2.2
True,2023-01-02,4,2,PORTLAND TRAIL BLAZERS,HOME,DETROIT PISTONS,WIN,1206,2,3,0,1,0,0,2,4,1,0,1,0,2,5.9
True,2023-01-04,6,-10,PORTLAND TRAIL BLAZERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,982,1,3,0,0,4,6,3,3,0,0,0,1,3,4.3
True,2023-01-06,11,0,PORTLAND TRAIL BLAZERS,AWAY,INDIANA PACERS,LOSS,895,5,7,0,0,1,2,4,2,1,1,0,2,3,9.6
True,2023-01-08,0,-9,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,605,0,0,0,0,0,0,2,1,1,0,1,1,1,1.7
True,2023-01-10,0,4,PORTLAND TRAIL BLAZERS,HOME,ORLANDO MAGIC,LOSS,445,0,0,0,0,0,0,0,2,1,0,0,0,1,0.9
True,2023-01-12,4,-1,PORTLAND TRAIL BLAZERS,HOME,CLEVELAND CAVALIERS,LOSS,469,1,3,0,1,2,2,2,1,0,0,0,1,2,2.2
True,2023-01-14,0,2,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,814,0,1,0,0,0,0,1,1,1,0,0,0,1,0.6
True,2023-01-15,7,-11,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,795,2,6,0,3,3,5,0,0,1,0,0,0,4,1.9
True,2023-01-17,0,11,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-19,0,-7,PORTLAND TRAIL BLAZERS,HOME,PHILADELPHIA 76ERS,LOSS,295,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
True,2023-01-23,0,-2,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,316,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-01-28,2,3,PORTLAND TRAIL BLAZERS,HOME,TORONTO RAPTORS,LOSS,316,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
True,2023-02-01,2,-3,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,WIN,361,1,3,0,0,0,0,0,1,0,0,0,0,0,0.6
True,2023-02-03,0,0,PORTLAND TRAIL BLAZERS,AWAY,WASHINGTON WIZARDS,WIN,312,0,2,0,1,0,0,1,0,0,0,0,0,0,-0.7
True,2023-02-06,6,3,PORTLAND TRAIL BLAZERS,HOME,MILWAUKEE BUCKS,LOSS,322,2,4,1,2,1,1,0,0,0,0,0,0,0,4.0
True,2023-02-08,10,2,PORTLAND TRAIL BLAZERS,HOME,GOLDEN STATE WARRIORS,WIN,405,3,3,1,1,3,3,0,2,0,0,0,0,0,9.7
True,2023-02-10,10,-8,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,LOSS,807,5,7,0,1,0,0,1,2,1,0,0,1,2,7.3
True,2023-02-13,8,-1,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES LAKERS,WIN,993,3,7,0,2,2,2,1,2,2,1,0,0,1,7.6
True,2023-02-14,3,-17,PORTLAND TRAIL BLAZERS,HOME,WASHINGTON WIZARDS,LOSS,703,1,1,0,0,1,2,1,1,1,0,1,2,1,2.3
True,2023-02-23,4,2,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,LOSS,1002,2,3,0,1,0,0,0,1,1,0,1,0,2,3.6
True,2023-02-26,2,-7,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,755,1,5,0,2,0,0,1,0,0,0,2,0,0,1.0
True,2023-02-28,0,-4,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,LOSS,203,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2023-03-03,0,-2,PORTLAND TRAIL BLAZERS,AWAY,ATLANTA HAWKS,LOSS,351,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2023-03-08,3,-1,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,LOSS,347,1,2,1,2,0,0,0,1,1,0,0,1,0,2.0
True,2023-03-12,5,19,PORTLAND TRAIL BLAZERS,AWAY,NEW ORLEANS PELICANS,LOSS,720,1,4,1,1,2,2,2,2,0,1,1,1,0,5.3
True,2023-03-14,2,-1,PORTLAND TRAIL BLAZERS,HOME,NEW YORK KNICKS,LOSS,110,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2023-03-17,0,1,PORTLAND TRAIL BLAZERS,HOME,BOSTON CELTICS,LOSS,469,0,2,0,0,0,0,1,3,0,0,0,3,1,-3.2
True,2023-03-24,14,-15,PORTLAND TRAIL BLAZERS,HOME,CHICAGO BULLS,LOSS,1391,6,13,0,1,2,2,1,2,1,1,0,1,4,7.7
True,2023-03-26,2,-11,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,LOSS,877,0,2,0,1,2,2,2,0,0,1,1,0,2,2.9
True,2023-03-27,7,-17,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS PELICANS,LOSS,1489,3,9,0,1,1,1,1,2,0,1,0,0,1,3.8
True,2023-03-29,12,-7,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,LOSS,1649,5,9,1,3,1,1,0,5,1,0,0,0,2,9.1
True,2023-03-31,14,0,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,LOSS,1197,5,12,4,6,0,0,1,1,3,0,1,2,2,8.6
True,2023-04-02,5,5,PORTLAND TRAIL BLAZERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1164,2,11,1,4,0,0,2,5,3,1,0,0,4,2.5
True,2023-04-04,16,-3,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1219,6,11,3,5,1,2,1,5,1,0,0,2,4,9.6
True,2023-04-06,8,-10,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,LOSS,1558,4,12,0,2,0,0,2,1,2,1,1,2,5,2.0
True,2023-04-08,7,-7,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1313,2,6,0,2,3,4,2,3,1,0,0,1,3,4.0
True,2023-04-09,9,-29,PORTLAND TRAIL BLAZERS,HOME,GOLDEN STATE WARRIORS,LOSS,1244,4,6,0,2,1,2,0,3,0,0,0,2,0,4.9
