active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,26,-5,INDIANA PACERS,HOME,WASHINGTON WIZARDS,LOSS,2140,10,18,3,6,3,3,2,2,7,0,0,3,1,20.9
True,2022-10-21,27,-10,INDIANA PACERS,HOME,SAN ANTONIO SPURS,LOSS,1629,9,18,1,5,8,8,1,2,12,1,0,4,4,23.1
True,2022-10-22,24,1,INDIANA PACERS,HOME,DETROIT PISTONS,WIN,1923,7,16,3,6,7,8,2,2,10,5,0,1,2,27.4
True,2022-10-24,19,-8,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,1886,7,11,3,6,2,2,2,4,10,0,0,4,0,19.7
True,2022-10-26,17,-2,INDIANA PACERS,AWAY,CHICAGO BULLS,LOSS,2292,6,15,2,6,3,4,0,4,11,1,1,6,0,13.1
True,2022-10-28,25,12,INDIANA PACERS,AWAY,WASHINGTON WIZARDS,WIN,2160,9,16,3,6,4,4,0,2,12,1,0,1,1,26.0
True,2022-10-29,26,6,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,1995,7,16,6,10,6,6,2,4,8,3,0,3,1,25.4
True,2022-10-31,11,-3,INDIANA PACERS,AWAY,BROOKLYN NETS,LOSS,1999,4,11,1,4,2,2,1,7,5,2,0,7,1,5.8
True,2022-11-04,22,-12,INDIANA PACERS,HOME,MIAMI HEAT,WIN,2168,9,16,3,8,1,4,0,9,9,2,0,1,1,22.8
True,2022-11-07,20,7,INDIANA PACERS,HOME,NEW ORLEANS PELICANS,WIN,2047,7,14,6,10,0,0,2,2,13,2,0,2,3,22.9
True,2022-11-09,21,-12,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,1992,9,15,3,8,0,0,0,1,12,3,0,1,0,24.8
True,2022-11-12,8,26,INDIANA PACERS,HOME,TORONTO RAPTORS,WIN,2350,3,14,2,9,0,1,1,5,15,2,1,3,2,10.6
True,2022-11-16,22,11,INDIANA PACERS,AWAY,CHARLOTTE HORNETS,WIN,1922,9,15,3,8,1,1,0,2,11,3,0,3,1,23.0
True,2022-11-18,19,0,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,2188,7,16,2,9,3,3,0,6,8,1,0,1,1,17.6
True,2022-11-19,22,4,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,2038,9,16,3,8,1,2,1,3,14,2,3,3,3,25.3
True,2022-11-21,18,13,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,1645,7,12,1,5,3,3,0,4,14,0,0,7,0,16.4
True,2022-11-23,10,-19,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2103,4,15,2,7,0,0,1,1,14,1,0,3,0,9.9
