active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2023-01-02,7,-1,PORTLAND TRAIL BLAZERS,HOME,DETROIT PISTONS,WIN,807,3,4,1,1,0,0,0,2,4,2,0,2,2,8.0
True,2023-01-10,2,-2,PORTLAND TRAIL BLAZERS,HOME,ORLANDO MAGIC,LOSS,919,1,1,0,0,0,0,0,2,1,1,0,2,2,1.2
True,2023-01-12,0,-3,PORTLAND TRAIL BLAZERS,HOME,CLEVELAND CAVALIERS,LOSS,1235,0,0,0,0,0,0,0,3,1,0,0,0,2,0.8
True,2023-01-14,10,9,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,923,4,5,2,2,0,0,0,2,2,4,0,0,5,12.1
True,2023-01-15,5,12,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,953,2,2,1,1,0,0,0,2,2,0,0,1,2,4.6
True,2023-01-17,0,4,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,1071,0,2,0,2,0,0,1,4,2,0,0,1,2,0.1
True,2023-01-22,2,-6,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES LAKERS,LOSS,1005,1,5,0,2,0,0,1,1,1,1,0,0,0,1.6
True,2023-01-23,2,14,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,1000,1,2,0,0,0,0,3,2,3,3,0,1,0,7.8
True,2023-01-25,6,-7,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,WIN,744,2,3,2,2,0,0,2,2,1,0,0,1,1,6.0
True,2023-01-28,3,8,PORTLAND TRAIL BLAZERS,HOME,TORONTO RAPTORS,LOSS,1017,1,1,1,1,0,0,0,0,3,0,0,0,1,4.4
True,2023-01-30,4,6,PORTLAND TRAIL BLAZERS,HOME,ATLANTA HAWKS,WIN,815,2,3,0,0,0,0,0,3,1,1,0,1,2,3.5
True,2023-02-01,7,13,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,WIN,1731,2,5,1,2,2,2,3,1,0,1,1,1,5,5.4
True,2023-02-04,2,0,PORTLAND TRAIL BLAZERS,AWAY,CHICAGO BULLS,LOSS,756,1,2,0,1,0,0,0,1,0,1,0,0,2,1.5
True,2023-02-06,2,-15,PORTLAND TRAIL BLAZERS,HOME,MILWAUKEE BUCKS,LOSS,1005,1,2,0,1,0,0,0,1,1,1,0,0,1,2.6
True,2023-02-08,9,-8,PORTLAND TRAIL BLAZERS,HOME,GOLDEN STATE WARRIORS,WIN,1334,3,4,1,2,2,2,0,3,0,1,0,2,2,6.5
True,2023-03-26,9,-9,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,LOSS,929,3,4,1,2,2,2,1,1,1,0,1,0,0,9.8
True,2023-03-28,0,-14,GOLDEN STATE WARRIORS,HOME,NEW ORLEANS PELICANS,WIN,540,0,0,0,0,0,0,1,0,0,1,0,1,1,0.3
True,2023-03-31,7,13,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,1067,3,5,1,2,0,1,4,4,1,1,1,0,2,9.9
True,2023-04-02,2,-12,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,LOSS,680,1,2,0,0,0,0,1,1,1,0,0,0,1,2.3
True,2023-04-04,8,9,GOLDEN STATE WARRIORS,HOME,OKLAHOMA CITY THUNDER,WIN,1028,4,8,0,2,0,0,3,1,1,0,0,0,2,6.3
True,2023-04-07,10,11,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,WIN,1278,4,5,2,3,0,0,2,3,0,0,2,3,5,6.8
True,2023-04-09,4,17,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1220,2,4,0,0,0,0,2,6,4,4,0,0,3,10.8
