active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,0,1,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,295,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2022-10-24,0,-3,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,538,0,2,0,0,0,0,0,1,0,1,1,1,1,-0.8
True,2022-10-26,0,-4,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,LOSS,176,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-10-28,0,3,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,WIN,135,0,0,0,0,0,0,0,1,0,1,0,0,0,1.3
True,2022-10-31,0,4,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,147,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
True,2022-11-02,2,4,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,LOSS,349,1,3,0,0,0,0,1,1,1,0,0,0,1,1.6
True,2022-11-04,2,-3,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1092,1,2,0,0,0,0,0,4,0,6,2,1,4,7.0
True,2022-11-07,2,2,PHILADELPHIA 76ERS,HOME,PHOENIX SUNS,WIN,686,1,1,0,0,0,0,2,2,0,1,0,1,4,2.1
True,2022-11-10,0,-14,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,552,0,3,0,2,0,0,1,2,0,1,1,0,3,-0.3
True,2022-11-12,0,-10,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,479,0,0,0,0,0,0,0,1,0,0,0,0,4,-1.3
True,2022-11-13,0,-7,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,WIN,285,0,2,0,0,0,0,1,0,0,0,1,0,1,-0.4
True,2022-11-18,2,5,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,WIN,746,1,2,0,0,0,0,1,5,0,1,0,0,3,3.0
True,2022-11-19,2,-9,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,746,1,1,0,0,0,0,1,4,3,1,0,0,3,5.5
True,2022-11-22,19,21,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,WIN,1873,7,9,0,0,5,6,5,5,0,3,2,2,1,22.1
True,2022-11-23,6,-7,PHILADELPHIA 76ERS,AWAY,CHARLOTTE HORNETS,LOSS,1303,3,4,0,0,0,0,1,7,1,2,3,2,4,8.4
True,2022-11-25,6,-6,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,1171,3,7,0,1,0,0,5,2,2,1,0,0,6,6.4
True,2022-11-27,12,28,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,1808,6,6,0,0,0,0,3,10,3,1,2,5,4,13.2
True,2022-11-28,2,-1,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,752,1,2,0,0,0,0,3,4,0,1,0,2,2,2.5
True,2022-11-30,9,-12,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,LOSS,865,4,4,0,0,1,2,2,3,2,0,1,2,2,9.0
True,2022-12-02,2,-16,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,375,1,3,0,0,0,0,2,0,0,1,0,0,2,1.9
True,2022-12-05,6,-8,PHILADELPHIA 76ERS,AWAY,HOUSTON ROCKETS,LOSS,971,2,4,0,0,2,4,2,1,0,0,3,0,5,5.0
True,2022-12-09,0,-12,PHILADELPHIA 76ERS,HOME,LOS ANGELES LAKERS,WIN,217,0,1,0,0,0,0,0,0,0,0,0,0,3,-1.9
True,2022-12-11,0,1,PHILADELPHIA 76ERS,HOME,CHARLOTTE HORNETS,WIN,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-13,0,-6,PHILADELPHIA 76ERS,HOME,SACRAMENTO KINGS,WIN,333,0,3,0,0,0,0,1,1,0,0,0,0,0,-1.1
True,2022-12-16,2,0,PHILADELPHIA 76ERS,HOME,GOLDEN STATE WARRIORS,WIN,59,1,2,0,0,0,0,1,1,0,0,0,0,1,1.6
True,2022-12-21,2,2,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,259,1,1,0,0,0,0,1,1,0,0,0,1,2,0.9
True,2022-12-23,2,4,PHILADELPHIA 76ERS,HOME,LOS ANGELES CLIPPERS,WIN,312,1,1,0,0,0,0,0,0,0,0,1,0,2,1.6
True,2022-12-27,0,-9,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,LOSS,170,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7
True,2022-12-30,2,2,PHILADELPHIA 76ERS,AWAY,NEW ORLEANS PELICANS,LOSS,62,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2022-12-31,2,-5,PHILADELPHIA 76ERS,AWAY,OKLAHOMA CITY THUNDER,WIN,236,1,5,0,0,0,0,0,3,0,0,1,1,1,-0.9
True,2023-01-06,0,1,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,445,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0
True,2023-01-08,16,9,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,WIN,1451,6,7,0,0,4,4,8,4,1,3,0,2,2,21.2
True,2023-01-10,6,2,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,625,2,2,0,0,2,2,0,3,1,0,3,1,2,7.3
True,2023-01-12,4,-8,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,LOSS,799,2,6,0,1,0,0,4,2,0,0,0,0,3,2.8
True,2023-01-17,0,-7,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,WIN,173,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-01-21,9,2,PHILADELPHIA 76ERS,AWAY,SACRAMENTO KINGS,WIN,887,4,6,0,0,1,2,4,3,0,0,1,1,4,7.8
True,2023-01-30,0,-1,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,LOSS,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-01,0,-3,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,175,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.1
True,2023-02-03,4,-14,PHILADELPHIA 76ERS,AWAY,SAN ANTONIO SPURS,WIN,267,2,3,0,0,0,0,2,0,0,0,0,0,0,4.1
True,2023-02-05,2,-14,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,LOSS,505,1,2,0,0,0,0,0,0,0,0,0,0,1,0.6
True,2023-02-10,0,4,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,WIN,615,0,0,0,0,0,0,0,4,0,2,0,0,2,2.4
True,2023-02-11,2,-2,PHILADELPHIA 76ERS,AWAY,BROOKLYN NETS,WIN,637,1,1,0,0,0,0,0,3,0,0,0,0,0,2.6
True,2023-02-13,6,7,PHILADELPHIA 76ERS,HOME,HOUSTON ROCKETS,WIN,1039,3,5,0,0,0,0,1,2,0,2,3,2,4,5.5
True,2023-02-15,5,3,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,WIN,567,2,2,0,0,1,2,1,3,0,0,2,1,2,5.2
True,2023-02-23,2,-3,PHILADELPHIA 76ERS,HOME,MEMPHIS GRIZZLIES,WIN,363,1,2,0,0,0,0,0,0,0,0,1,0,2,0.9
True,2023-02-25,0,-14,PHILADELPHIA 76ERS,HOME,BOSTON CELTICS,LOSS,282,0,1,0,0,0,0,1,0,0,1,0,2,0,-1.0
True,2023-02-27,6,0,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,LOSS,802,2,4,0,0,2,2,1,2,0,0,0,0,0,5.3
True,2023-03-01,16,26,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,WIN,1724,7,10,0,0,2,2,5,9,0,0,2,0,3,18.2
True,2023-03-02,2,7,PHILADELPHIA 76ERS,AWAY,DALLAS MAVERICKS,LOSS,568,1,1,0,0,0,0,0,1,1,1,1,0,3,3.2
True,2023-03-04,4,8,PHILADELPHIA 76ERS,AWAY,MILWAUKEE BUCKS,WIN,568,1,1,0,0,2,3,3,1,1,0,1,0,2,6.3
True,2023-03-06,8,8,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,WIN,653,4,4,0,0,0,0,0,4,1,1,3,1,1,10.4
True,2023-03-07,2,5,PHILADELPHIA 76ERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1201,1,7,0,0,0,0,2,1,0,1,1,1,3,-1.3
True,2023-03-10,4,-1,PHILADELPHIA 76ERS,HOME,PORTLAND TRAIL BLAZERS,WIN,626,2,6,0,0,0,0,4,1,0,1,0,1,4,2.1
True,2023-03-12,6,9,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,721,3,4,0,0,0,0,3,3,0,0,1,1,1,6.7
True,2023-03-15,0,-7,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,WIN,242,0,1,0,0,0,0,1,1,0,1,0,1,1,-0.1
True,2023-03-17,8,9,PHILADELPHIA 76ERS,AWAY,CHARLOTTE HORNETS,WIN,747,4,8,0,0,0,0,6,4,0,0,3,2,2,8.7
True,2023-03-18,10,4,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,WIN,938,5,6,0,0,0,0,2,1,1,1,0,0,2,10.4
True,2023-03-20,2,-10,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,812,1,2,0,0,0,0,1,2,1,0,0,0,4,1.4
True,2023-03-22,6,13,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,1128,1,1,0,0,4,6,2,2,1,1,1,1,0,8.3
True,2023-03-24,2,-13,PHILADELPHIA 76ERS,AWAY,GOLDEN STATE WARRIORS,LOSS,336,1,2,0,0,0,2,2,2,0,0,0,1,1,0.8
True,2023-03-25,2,-2,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,378,0,0,0,0,2,2,1,1,0,0,0,0,1,2.6
True,2023-03-27,16,5,PHILADELPHIA 76ERS,AWAY,DENVER NUGGETS,LOSS,1010,7,7,0,0,2,3,3,6,1,2,1,1,2,19.0
True,2023-03-29,5,-2,PHILADELPHIA 76ERS,HOME,DALLAS MAVERICKS,WIN,892,2,4,0,0,1,1,3,2,1,1,1,1,1,6.7
True,2023-03-31,11,0,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,WIN,866,3,5,0,0,5,5,4,2,2,0,1,1,0,13.2
True,2023-04-02,8,3,PHILADELPHIA 76ERS,AWAY,MILWAUKEE BUCKS,LOSS,800,4,5,0,0,0,0,5,5,0,0,0,0,1,10.7
True,2023-04-04,2,-13,PHILADELPHIA 76ERS,HOME,BOSTON CELTICS,WIN,555,1,3,0,0,0,1,2,1,1,1,1,0,1,3.6
True,2023-04-06,2,-12,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,LOSS,619,1,1,0,0,0,0,0,1,0,1,0,2,1,0.6
True,2023-04-07,10,16,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,WIN,1477,4,6,0,0,2,2,3,5,1,2,0,2,3,10.5
True,2023-04-09,17,16,PHILADELPHIA 76ERS,AWAY,BROOKLYN NETS,WIN,1663,8,15,1,2,0,0,4,6,1,2,5,1,2,18.7
