active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-24,1,-4,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,120,0,1,0,0,1,2,1,1,0,0,1,0,0,1.6
True,2022-10-28,4,3,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,WIN,135,2,2,0,0,0,0,0,0,0,0,0,0,1,3.0
True,2022-12-11,0,1,PHILADELPHIA 76ERS,HOME,CHARLOTTE HORNETS,WIN,101,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2022-12-13,0,-6,PHILADELPHIA 76ERS,HOME,SACRAMENTO KINGS,WIN,333,0,2,0,0,0,0,0,1,0,0,1,0,0,-0.4
True,2022-12-31,2,-5,PHILADELPHIA 76ERS,AWAY,OKLAHOMA CITY THUNDER,WIN,236,1,2,0,0,0,0,1,1,0,0,0,0,2,1.2
True,2023-01-10,10,6,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,523,4,4,0,0,2,2,2,0,1,1,0,0,2,11.1
True,2023-01-17,0,-8,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,WIN,125,0,1,0,0,0,0,0,0,0,1,0,0,1,-0.1
True,2023-03-12,0,-1,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,180,0,1,0,1,0,0,1,0,1,2,0,0,0,2.7
True,2023-03-17,2,1,PHILADELPHIA 76ERS,AWAY,CHARLOTTE HORNETS,WIN,423,1,2,0,0,0,0,0,0,1,1,0,0,2,1.9
True,2023-03-18,0,0,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,WIN,201,0,1,0,1,0,0,0,1,1,0,0,0,0,0.3
True,2023-03-22,2,-3,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,195,1,2,0,0,0,0,0,1,0,0,0,0,0,1.3
True,2023-03-24,0,-3,PHILADELPHIA 76ERS,AWAY,GOLDEN STATE WARRIORS,LOSS,15,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2023-03-25,0,-2,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,246,0,2,0,0,0,0,0,0,0,1,0,0,0,-0.4
True,2023-03-27,2,11,PHILADELPHIA 76ERS,AWAY,DENVER NUGGETS,LOSS,347,0,1,0,0,2,2,0,2,1,0,0,0,0,2.6
True,2023-04-07,19,6,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,WIN,2049,8,13,2,3,1,2,1,1,3,1,1,2,6,13.1
True,2023-04-09,0,1,PHILADELPHIA 76ERS,AWAY,BROOKLYN NETS,WIN,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
