active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,32,-1,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2207,12,23,2,6,6,6,2,4,5,3,2,2,1,28.8
True,2022-10-22,28,-6,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,2036,11,24,1,5,5,5,0,3,7,1,0,5,4,15.8
True,2022-10-25,33,23,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,2204,11,22,2,2,9,9,1,4,8,3,3,2,0,32.6
True,2022-10-27,24,12,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,2041,10,23,2,4,2,2,1,4,6,3,0,3,4,16.4
True,2022-10-29,38,20,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,WIN,2480,15,27,0,2,8,8,2,4,9,2,1,3,2,32.9
True,2022-11-01,34,-2,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,WIN,1974,12,18,0,3,10,11,0,4,6,3,2,5,2,29.8
True,2022-11-03,37,-6,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,2112,13,17,0,0,11,11,1,3,3,2,0,4,3,30.8
True,2022-11-05,18,-19,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,LOSS,1906,7,16,0,1,4,5,0,1,3,1,1,2,3,10.1
True,2022-11-07,33,-8,OKLAHOMA CITY THUNDER,AWAY,DETROIT PISTONS,LOSS,2280,13,23,0,0,7,7,2,5,5,1,4,1,2,30.5
True,2022-11-09,39,3,OKLAHOMA CITY THUNDER,HOME,MILWAUKEE BUCKS,LOSS,2765,13,25,2,5,11,13,1,3,4,0,2,4,5,25.7
True,2022-11-11,20,13,OKLAHOMA CITY THUNDER,HOME,TORONTO RAPTORS,WIN,1683,8,14,1,2,3,4,0,3,4,3,1,3,2,16.6
True,2022-11-13,37,4,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,2172,13,22,2,3,9,10,0,5,8,3,2,6,2,31.1
