active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,6,9,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,1779,2,10,1,6,1,2,2,3,4,2,0,4,4,0.9
True,2022-10-21,3,-8,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,1845,1,4,0,2,1,2,0,3,1,3,1,4,1,1.1
True,2022-10-22,2,-15,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,996,0,1,0,1,2,2,0,2,2,1,1,1,1,3.6
True,2022-10-24,7,29,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,1101,2,2,1,1,2,2,0,3,4,0,2,2,2,8.7
True,2022-10-26,8,18,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,1396,3,4,2,3,0,0,0,2,3,3,2,1,3,11.3
True,2022-10-28,3,-11,CHICAGO BULLS,AWAY,SAN ANTONIO SPURS,LOSS,1412,1,5,1,3,0,0,3,0,4,1,0,1,1,4.4
True,2022-10-29,9,7,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,2110,2,5,1,2,4,4,0,3,6,3,1,1,1,13.7
True,2022-11-01,4,11,CHICAGO BULLS,AWAY,BROOKLYN NETS,WIN,1501,1,4,1,2,1,2,0,4,4,0,0,0,1,4.8
True,2022-11-02,6,12,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,1451,2,3,1,2,1,2,0,0,3,1,1,1,3,5.9
True,2022-11-04,5,-14,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,1359,2,3,1,2,0,0,0,1,3,0,1,3,3,2.6
True,2022-11-06,4,15,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,1934,1,11,0,6,2,2,3,8,11,2,2,2,2,9.5
True,2022-11-07,4,16,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,1681,1,2,1,1,1,2,0,6,5,2,2,3,1,7.9
True,2022-11-09,0,1,CHICAGO BULLS,HOME,NEW ORLEANS PELICANS,LOSS,1370,0,1,0,1,0,0,0,3,1,1,0,0,4,0.3
True,2022-11-13,0,-2,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,1274,0,1,0,1,0,0,0,0,2,3,1,3,1,1.0
True,2022-11-16,13,-4,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,1636,5,7,3,4,0,0,0,2,2,0,0,0,2,11.3
True,2022-11-18,7,-8,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,1372,3,5,1,2,0,0,1,0,5,0,0,1,5,5.9
