active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,8,-12,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,1016,2,3,1,1,3,4,1,1,0,2,1,1,1,8.6
True,2022-10-24,10,16,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,885,2,4,0,1,6,6,1,1,1,0,0,0,2,8.9
True,2022-10-26,0,16,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,598,0,3,0,1,0,0,1,1,0,0,0,0,1,-1.5
True,2022-10-28,6,1,CHICAGO BULLS,AWAY,SAN ANTONIO SPURS,LOSS,984,1,3,0,0,4,4,1,2,0,1,1,0,0,7.3
True,2022-10-29,6,-3,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,698,2,4,0,1,2,3,1,2,1,0,1,0,1,5.9
True,2022-11-01,4,4,CHICAGO BULLS,AWAY,BROOKLYN NETS,WIN,964,1,4,0,1,2,2,3,1,1,0,1,0,0,5.4
True,2022-11-02,10,22,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,986,2,6,2,2,4,4,3,2,3,0,1,0,3,10.9
True,2022-11-04,0,-15,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,885,0,0,0,0,0,0,0,2,0,1,0,1,1,0.2
True,2022-11-06,4,-4,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,990,1,5,0,2,2,4,0,2,0,1,3,0,1,3.4
True,2022-11-07,12,7,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,784,5,5,0,0,2,3,1,1,0,0,0,0,0,11.1
True,2022-11-09,5,-7,CHICAGO BULLS,HOME,NEW ORLEANS PELICANS,LOSS,672,2,4,0,1,1,1,1,1,1,0,2,0,3,4.9
True,2022-11-13,4,9,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,901,2,4,0,1,0,0,0,3,0,0,0,0,2,2.1
True,2022-11-16,0,-2,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,684,0,2,0,1,0,0,0,0,1,0,0,1,2,-2.5
True,2022-11-18,0,-10,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,294,0,2,0,2,0,0,1,1,0,0,0,0,1,-0.8
True,2022-11-25,6,1,CHICAGO BULLS,AWAY,OKLAHOMA CITY THUNDER,LOSS,388,2,4,0,1,2,2,1,1,0,0,1,0,0,5.7
True,2022-11-30,2,0,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,450,1,2,0,1,0,0,0,1,0,1,1,0,1,2.6
True,2022-12-02,6,4,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,LOSS,621,3,5,0,1,0,0,1,0,0,0,0,2,1,2.0
True,2022-12-04,3,-6,CHICAGO BULLS,AWAY,SACRAMENTO KINGS,LOSS,1015,1,1,1,1,0,0,1,2,0,1,0,3,3,0.8
True,2022-12-07,2,-8,CHICAGO BULLS,HOME,WASHINGTON WIZARDS,WIN,854,1,4,0,1,0,0,1,1,1,1,0,0,0,2.3
True,2022-12-10,16,7,CHICAGO BULLS,HOME,DALLAS MAVERICKS,WIN,1201,6,10,4,5,0,0,1,4,1,1,0,0,3,13.8
True,2022-12-11,14,2,CHICAGO BULLS,AWAY,ATLANTA HAWKS,LOSS,1531,6,7,1,2,1,2,2,0,2,2,3,0,3,16.8
True,2022-12-14,2,-7,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,653,1,2,0,1,0,0,1,0,0,1,1,0,0,3.4
True,2022-12-16,2,6,CHICAGO BULLS,HOME,NEW YORK KNICKS,LOSS,543,1,3,0,1,0,0,0,2,0,1,1,1,1,1.2
True,2022-12-18,13,-9,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1199,5,7,2,3,1,1,1,2,1,0,0,0,2,11.3
True,2022-12-20,2,-2,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,925,1,2,0,1,0,0,0,2,2,0,0,2,0,1.0
True,2023-01-02,6,-6,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1313,3,4,0,1,0,0,2,4,0,0,0,1,4,4.4
True,2023-01-04,8,2,CHICAGO BULLS,HOME,BROOKLYN NETS,WIN,772,3,3,0,0,2,3,0,2,0,1,1,2,4,5.4
True,2023-01-06,8,-8,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,WIN,985,3,4,1,1,1,3,1,2,2,0,0,1,2,6.5
True,2023-01-07,5,8,CHICAGO BULLS,HOME,UTAH JAZZ,WIN,997,1,2,0,0,3,4,0,3,0,0,0,0,1,4.1
True,2023-01-09,4,10,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,850,2,4,0,1,0,0,0,1,1,0,0,0,0,3.0
