active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,0,-6,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,247,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.7
True,2022-10-24,0,1,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,126,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-10-26,0,1,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,59,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.7
True,2022-10-29,0,-1,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,175,0,2,0,1,0,0,0,0,1,0,0,0,0,-0.7
True,2022-11-02,0,0,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,111,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2022-11-06,4,1,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,586,2,2,0,0,0,0,0,1,1,1,1,1,0,5.1
True,2022-11-07,0,0,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-13,5,3,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,334,1,3,1,1,2,2,0,0,2,0,0,1,1,3.3
True,2022-11-16,1,3,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,114,0,0,0,0,1,2,0,0,1,0,0,0,0,1.3
True,2022-11-30,0,-2,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,212,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-12-10,2,7,CHICAGO BULLS,HOME,DALLAS MAVERICKS,WIN,211,1,1,0,0,0,0,0,0,2,0,0,0,1,2.7
True,2022-12-21,0,-5,CHICAGO BULLS,AWAY,ATLANTA HAWKS,WIN,311,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2022-12-26,0,-2,CHICAGO BULLS,HOME,HOUSTON ROCKETS,LOSS,390,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-12-28,0,4,CHICAGO BULLS,HOME,MILWAUKEE BUCKS,WIN,256,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-13,0,1,CHICAGO BULLS,HOME,OKLAHOMA CITY THUNDER,LOSS,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-15,2,-1,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,WIN,38,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2023-01-19,2,-2,CHICAGO BULLS,AWAY,DETROIT PISTONS,WIN,66,1,1,0,0,0,0,1,1,0,0,0,0,0,2.7
